#FORMAT=WebAnno TSV 3.2


#Text=Ao utilizar Metformina, é possível que surja falta de apetite, náusea, vômitos, dor abdominal (cólica) e diarreia como efeitos adversos. Estes sintomas tendem a melhorar após os primeiro mês de uso da medicação. É sempre importante comunicar se estiver apresentando esses sintomas ao seu médico, pois ele pode reavaliar a dose ou pensar em substituir a Metformina por outro remédio com menos efeitos adversos.
1-1	0-2	Ao	
1-2	3-11	utilizar	
1-3	12-22	Metformina	
1-4	22-23	,	
1-5	24-25	é	
1-6	26-34	possível	
1-7	35-38	que	
1-8	39-44	surja	
1-9	45-50	falta	
1-10	51-53	de	
1-11	54-61	apetite	
1-12	61-62	,	
1-13	63-69	náusea	
1-14	69-70	,	
1-15	71-78	vômitos	
1-16	78-79	,	
1-17	80-83	dor	
1-18	84-93	abdominal	
1-19	94-95	(	
1-20	95-101	cólica	
1-21	101-102	)	
1-22	103-104	e	
1-23	105-113	diarreia	
1-24	114-118	como	
1-25	119-126	efeitos	
1-26	127-135	adversos	
1-27	135-136	.	
1-28	137-142	Estes	
1-29	143-151	sintomas	
1-30	152-158	tendem	
1-31	159-160	a	
1-32	161-169	melhorar	
1-33	170-174	após	
1-34	175-177	os	
1-35	178-186	primeiro	
1-36	187-190	mês	
1-37	191-193	de	
1-38	194-197	uso	
1-39	198-200	da	
1-40	201-210	medicação	
1-41	210-211	.	
1-42	212-213	É	
1-43	214-220	sempre	
1-44	221-231	importante	
1-45	232-241	comunicar	
1-46	242-244	se	
1-47	245-252	estiver	
1-48	253-265	apresentando	
1-49	266-271	esses	
1-50	272-280	sintomas	
1-51	281-283	ao	
1-52	284-287	seu	
1-53	288-294	médico	
1-54	294-295	,	
1-55	296-300	pois	
1-56	301-304	ele	
1-57	305-309	pode	
1-58	310-319	reavaliar	
1-59	320-321	a	
1-60	322-326	dose	
1-61	327-329	ou	
1-62	330-336	pensar	
1-63	337-339	em	
1-64	340-350	substituir	
1-65	351-352	a	
1-66	353-363	Metformina	
1-67	364-367	por	
1-68	368-373	outro	
1-69	374-381	remédio	
1-70	382-385	com	
1-71	386-391	menos	
1-72	392-399	efeitos	
1-73	400-408	adversos	
1-74	408-409	.	

#Text=No entanto, a dor de cabeça não costuma ser um efeito adverso da metformina.
2-1	411-413	No	
2-2	414-421	entanto	
2-3	421-422	,	
2-4	423-424	a	
2-5	425-428	dor	
2-6	429-431	de	
2-7	432-438	cabeça	
2-8	439-442	não	
2-9	443-450	costuma	
2-10	451-454	ser	
2-11	455-457	um	
2-12	458-464	efeito	
2-13	465-472	adverso	
2-14	473-475	da	
2-15	476-486	metformina	
2-16	486-487	.	
