#FORMAT=WebAnno TSV 3.2


#Text=Entender o resultado dos exames que confirmam se uma pessoa tem ou não tem diabetes não é fácil para quem não está acostumado com esse tipo de exame. Os principais testes que fazemos para confirmar ou descartar o diabetes são a medição da glicemia em jejum, a medição da hemoglobina glicada e o teste oral de tolerância à glicose. Mas nem sempre é necessário fazer esses três exames para receber a confirmação. É importante confiar na palavra do seu médico em relação ao diagnóstico e seguir as recomendações dele para tratar e controlar o diabetes de forma correta. O tratamento do diabetes deve incluir uma dieta saudável, a prática frequente de exercícios e, quando necessário, o uso de remédios. Normalmente, a intenção é que os valores da glicemia (açúcar no sangue) abaixem devagar e se mantenham relativamente estáveis ao longo do dia. Quando a pessoa com diabetes tem sintomas no momento do diagnóstico normalmente significa que a glicemia dela estava muito alta, então pode ser necessário um tratamento que abaixe esses níveis mais rapidamente.
1-1	0-8	Entender	
1-2	9-10	o	
1-3	11-20	resultado	
1-4	21-24	dos	
1-5	25-31	exames	
1-6	32-35	que	
1-7	36-45	confirmam	
1-8	46-48	se	
1-9	49-52	uma	
1-10	53-59	pessoa	
1-11	60-63	tem	
1-12	64-66	ou	
1-13	67-70	não	
1-14	71-74	tem	
1-15	75-83	diabetes	
1-16	84-87	não	
1-17	88-89	é	
1-18	90-95	fácil	
1-19	96-100	para	
1-20	101-105	quem	
1-21	106-109	não	
1-22	110-114	está	
1-23	115-125	acostumado	
1-24	126-129	com	
1-25	130-134	esse	
1-26	135-139	tipo	
1-27	140-142	de	
1-28	143-148	exame	
1-29	148-149	.	
1-30	150-152	Os	
1-31	153-163	principais	
1-32	164-170	testes	
1-33	171-174	que	
1-34	175-182	fazemos	
1-35	183-187	para	
1-36	188-197	confirmar	
1-37	198-200	ou	
1-38	201-210	descartar	
1-39	211-212	o	
1-40	213-221	diabetes	
1-41	222-225	são	
1-42	226-227	a	
1-43	228-235	medição	
1-44	236-238	da	
1-45	239-247	glicemia	
1-46	248-250	em	
1-47	251-256	jejum	
1-48	256-257	,	
1-49	258-259	a	
1-50	260-267	medição	
1-51	268-270	da	
1-52	271-282	hemoglobina	
1-53	283-290	glicada	
1-54	291-292	e	
1-55	293-294	o	
1-56	295-300	teste	
1-57	301-305	oral	
1-58	306-308	de	
1-59	309-319	tolerância	
1-60	320-321	à	
1-61	322-329	glicose	
1-62	329-330	.	
1-63	331-334	Mas	
1-64	335-338	nem	
1-65	339-345	sempre	
1-66	346-347	é	
1-67	348-358	necessário	
1-68	359-364	fazer	
1-69	365-370	esses	
1-70	371-375	três	
1-71	376-382	exames	
1-72	383-387	para	
1-73	388-395	receber	
1-74	396-397	a	
1-75	398-409	confirmação	
1-76	409-410	.	
1-77	411-412	É	
1-78	413-423	importante	
1-79	424-431	confiar	
1-80	432-434	na	
1-81	435-442	palavra	
1-82	443-445	do	
1-83	446-449	seu	
1-84	450-456	médico	
1-85	457-459	em	
1-86	460-467	relação	
1-87	468-470	ao	
1-88	471-482	diagnóstico	
1-89	483-484	e	
1-90	485-491	seguir	
1-91	492-494	as	
1-92	495-508	recomendações	
1-93	509-513	dele	
1-94	514-518	para	
1-95	519-525	tratar	
1-96	526-527	e	
1-97	528-537	controlar	
1-98	538-539	o	
1-99	540-548	diabetes	
1-100	549-551	de	
1-101	552-557	forma	
1-102	558-565	correta	
1-103	565-566	.	
1-104	567-568	O	
1-105	569-579	tratamento	
1-106	580-582	do	
1-107	583-591	diabetes	
1-108	592-596	deve	
1-109	597-604	incluir	
1-110	605-608	uma	
1-111	609-614	dieta	
1-112	615-623	saudável	
1-113	623-624	,	
1-114	625-626	a	
1-115	627-634	prática	
1-116	635-644	frequente	
1-117	645-647	de	
1-118	648-658	exercícios	
1-119	659-660	e	
1-120	660-661	,	
1-121	662-668	quando	
1-122	669-679	necessário	
1-123	679-680	,	
1-124	681-682	o	
1-125	683-686	uso	
1-126	687-689	de	
1-127	690-698	remédios	
1-128	698-699	.	
1-129	700-711	Normalmente	
1-130	711-712	,	
1-131	713-714	a	
1-132	715-723	intenção	
1-133	724-725	é	
1-134	726-729	que	
1-135	730-732	os	
1-136	733-740	valores	
1-137	741-743	da	
1-138	744-752	glicemia	
1-139	753-754	(	
1-140	754-760	açúcar	
1-141	761-763	no	
1-142	764-770	sangue	
1-143	770-771	)	
1-144	772-779	abaixem	
1-145	780-787	devagar	
1-146	788-789	e	
1-147	790-792	se	
1-148	793-802	mantenham	
1-149	803-816	relativamente	
1-150	817-825	estáveis	
1-151	826-828	ao	
1-152	829-834	longo	
1-153	835-837	do	
1-154	838-841	dia	
1-155	841-842	.	
1-156	843-849	Quando	
1-157	850-851	a	
1-158	852-858	pessoa	
1-159	859-862	com	
1-160	863-871	diabetes	
1-161	872-875	tem	
1-162	876-884	sintomas	
1-163	885-887	no	
1-164	888-895	momento	
1-165	896-898	do	
1-166	899-910	diagnóstico	
1-167	911-922	normalmente	
1-168	923-932	significa	
1-169	933-936	que	
1-170	937-938	a	
1-171	939-947	glicemia	
1-172	948-952	dela	
1-173	953-959	estava	
1-174	960-965	muito	
1-175	966-970	alta	
1-176	970-971	,	
1-177	972-977	então	
1-178	978-982	pode	
1-179	983-986	ser	
1-180	987-997	necessário	
1-181	998-1000	um	
1-182	1001-1011	tratamento	
1-183	1012-1015	que	
1-184	1016-1022	abaixe	
1-185	1023-1028	esses	
1-186	1029-1035	níveis	
1-187	1036-1040	mais	
1-188	1041-1052	rapidamente	
1-189	1052-1053	.	
