#FORMAT=WebAnno TSV 3.2


#Text=Entender o resultado dos exames que confirmam se uma pessoa tem ou não tem diabetes não é fácil para quem não está acostumado com esse tipo de exame. Os principais testes que fazemos para confirmar ou descartar o diabetes são a medição da glicemia em jejum, a medição da hemoglobina glicada e o teste oral de tolerância à glicose. Mas nem sempre é necessário fazer esses três exames para receber a confirmação. No caso de uma glicemia de jejum alterada, que é o seu caso, deve-se realizar mais um exame, que confirma o diabetes, caso venha alterado. É importante confiar na palavra do seu médico em relação ao diagnóstico e seguir as recomendações dele para tratar e controlar o diabetes de forma correta.
1-1	0-8	Entender	
1-2	9-10	o	
1-3	11-20	resultado	
1-4	21-24	dos	
1-5	25-31	exames	
1-6	32-35	que	
1-7	36-45	confirmam	
1-8	46-48	se	
1-9	49-52	uma	
1-10	53-59	pessoa	
1-11	60-63	tem	
1-12	64-66	ou	
1-13	67-70	não	
1-14	71-74	tem	
1-15	75-83	diabetes	
1-16	84-87	não	
1-17	88-89	é	
1-18	90-95	fácil	
1-19	96-100	para	
1-20	101-105	quem	
1-21	106-109	não	
1-22	110-114	está	
1-23	115-125	acostumado	
1-24	126-129	com	
1-25	130-134	esse	
1-26	135-139	tipo	
1-27	140-142	de	
1-28	143-148	exame	
1-29	148-149	.	
1-30	150-152	Os	
1-31	153-163	principais	
1-32	164-170	testes	
1-33	171-174	que	
1-34	175-182	fazemos	
1-35	183-187	para	
1-36	188-197	confirmar	
1-37	198-200	ou	
1-38	201-210	descartar	
1-39	211-212	o	
1-40	213-221	diabetes	
1-41	222-225	são	
1-42	226-227	a	
1-43	228-235	medição	
1-44	236-238	da	
1-45	239-247	glicemia	
1-46	248-250	em	
1-47	251-256	jejum	
1-48	256-257	,	
1-49	258-259	a	
1-50	260-267	medição	
1-51	268-270	da	
1-52	271-282	hemoglobina	
1-53	283-290	glicada	
1-54	291-292	e	
1-55	293-294	o	
1-56	295-300	teste	
1-57	301-305	oral	
1-58	306-308	de	
1-59	309-319	tolerância	
1-60	320-321	à	
1-61	322-329	glicose	
1-62	329-330	.	
1-63	331-334	Mas	
1-64	335-338	nem	
1-65	339-345	sempre	
1-66	346-347	é	
1-67	348-358	necessário	
1-68	359-364	fazer	
1-69	365-370	esses	
1-70	371-375	três	
1-71	376-382	exames	
1-72	383-387	para	
1-73	388-395	receber	
1-74	396-397	a	
1-75	398-409	confirmação	
1-76	409-410	.	
1-77	411-413	No	
1-78	414-418	caso	
1-79	419-421	de	
1-80	422-425	uma	
1-81	426-434	glicemia	
1-82	435-437	de	
1-83	438-443	jejum	
1-84	444-452	alterada	
1-85	452-453	,	
1-86	454-457	que	
1-87	458-459	é	
1-88	460-461	o	
1-89	462-465	seu	
1-90	466-470	caso	
1-91	470-471	,	
1-92	472-479	deve-se	
1-93	480-488	realizar	
1-94	489-493	mais	
1-95	494-496	um	
1-96	497-502	exame	
1-97	502-503	,	
1-98	504-507	que	
1-99	508-516	confirma	
1-100	517-518	o	
1-101	519-527	diabetes	
1-102	527-528	,	
1-103	529-533	caso	
1-104	534-539	venha	
1-105	540-548	alterado	
1-106	548-549	.	
1-107	550-551	É	
1-108	552-562	importante	
1-109	563-570	confiar	
1-110	571-573	na	
1-111	574-581	palavra	
1-112	582-584	do	
1-113	585-588	seu	
1-114	589-595	médico	
1-115	596-598	em	
1-116	599-606	relação	
1-117	607-609	ao	
1-118	610-621	diagnóstico	
1-119	622-623	e	
1-120	624-630	seguir	
1-121	631-633	as	
1-122	634-647	recomendações	
1-123	648-652	dele	
1-124	653-657	para	
1-125	658-664	tratar	
1-126	665-666	e	
1-127	667-676	controlar	
1-128	677-678	o	
1-129	679-687	diabetes	
1-130	688-690	de	
1-131	691-696	forma	
1-132	697-704	correta	
1-133	704-705	.	
