#FORMAT=WebAnno TSV 3.2


#Text=A suadeira pode ser provocada por diversos motivos. No entanto, uma das causas é a hipoglicemia, que é uma complicação do diabetes que aparece quando a quantidade de açúcar no sangue fica muito baixa. Essa complicação pode ser muito grave e por isso é muito importante que procure um médico o quanto antes para ele avaliar o motivo desse suor. Outros sintomas da hipoglicemia são: fome, tremedeiras, fraqueza, palpitação, coração batendo mais rápido, ansiedade/agitação, confusão mental e cefaleia (dor de cabeça).
1-1	0-1	A	
1-2	2-10	suadeira	
1-3	11-15	pode	
1-4	16-19	ser	
1-5	20-29	provocada	
1-6	30-33	por	
1-7	34-42	diversos	
1-8	43-50	motivos	
1-9	50-51	.	
1-10	52-54	No	
1-11	55-62	entanto	
1-12	62-63	,	
1-13	64-67	uma	
1-14	68-71	das	
1-15	72-78	causas	
1-16	79-80	é	
1-17	81-82	a	
1-18	83-95	hipoglicemia	
1-19	95-96	,	
1-20	97-100	que	
1-21	101-102	é	
1-22	103-106	uma	
1-23	107-118	complicação	
1-24	119-121	do	
1-25	122-130	diabetes	
1-26	131-134	que	
1-27	135-142	aparece	
1-28	143-149	quando	
1-29	150-151	a	
1-30	152-162	quantidade	
1-31	163-165	de	
1-32	166-172	açúcar	
1-33	173-175	no	
1-34	176-182	sangue	
1-35	183-187	fica	
1-36	188-193	muito	
1-37	194-199	baixa	
1-38	199-200	.	
1-39	201-205	Essa	
1-40	206-217	complicação	
1-41	218-222	pode	
1-42	223-226	ser	
1-43	227-232	muito	
1-44	233-238	grave	
1-45	239-240	e	
1-46	241-244	por	
1-47	245-249	isso	
1-48	250-251	é	
1-49	252-257	muito	
1-50	258-268	importante	
1-51	269-272	que	
1-52	273-280	procure	
1-53	281-283	um	
1-54	284-290	médico	
1-55	291-292	o	
1-56	293-299	quanto	
1-57	300-305	antes	
1-58	306-310	para	
1-59	311-314	ele	
1-60	315-322	avaliar	
1-61	323-324	o	
1-62	325-331	motivo	
1-63	332-337	desse	
1-64	338-342	suor	
1-65	342-343	.	
1-66	344-350	Outros	
1-67	351-359	sintomas	
1-68	360-362	da	
1-69	363-375	hipoglicemia	
1-70	376-379	são	
1-71	379-380	:	
1-72	381-385	fome	
1-73	385-386	,	
1-74	387-398	tremedeiras	
1-75	398-399	,	
1-76	400-408	fraqueza	
1-77	408-409	,	
1-78	410-420	palpitação	
1-79	420-421	,	
1-80	422-429	coração	
1-81	430-437	batendo	
1-82	438-442	mais	
1-83	443-449	rápido	
1-84	449-450	,	
1-85	451-460	ansiedade	
1-86	460-461	/	
1-87	461-469	agitação	
1-88	469-470	,	
1-89	471-479	confusão	
1-90	480-486	mental	
1-91	487-488	e	
1-92	489-497	cefaleia	
1-93	498-499	(	
1-94	499-502	dor	
1-95	503-505	de	
1-96	506-512	cabeça	
1-97	512-513	)	
1-98	513-514	.	
