#FORMAT=WebAnno TSV 3.2


#Text=O cansaço extremo, sem que haja uma boa razão para ele, é um dos sintomas clássicos do diabetes. Ele ocorre porque o açúcar (nossa fonte de energia) presente na corrente sanguínea não está sendo devidamente guardado dentro das células. Como consequência, o organismo não consegue utilizar bem o açúcar, e a pessoa sente-se cansada e com sono mesmo que tenha se alimentado recentemente. A sensação é parecida com a de quando se está com a pressão baixa.
1-1	0-1	O	
1-2	2-9	cansaço	
1-3	10-17	extremo	
1-4	17-18	,	
1-5	19-22	sem	
1-6	23-26	que	
1-7	27-31	haja	
1-8	32-35	uma	
1-9	36-39	boa	
1-10	40-45	razão	
1-11	46-50	para	
1-12	51-54	ele	
1-13	54-55	,	
1-14	56-57	é	
1-15	58-60	um	
1-16	61-64	dos	
1-17	65-73	sintomas	
1-18	74-83	clássicos	
1-19	84-86	do	
1-20	87-95	diabetes	
1-21	95-96	.	
1-22	97-100	Ele	
1-23	101-107	ocorre	
1-24	108-114	porque	
1-25	115-116	o	
1-26	117-123	açúcar	
1-27	124-125	(	
1-28	125-130	nossa	
1-29	131-136	fonte	
1-30	137-139	de	
1-31	140-147	energia	
1-32	147-148	)	
1-33	149-157	presente	
1-34	158-160	na	
1-35	161-169	corrente	
1-36	170-179	sanguínea	
1-37	180-183	não	
1-38	184-188	está	
1-39	189-194	sendo	
1-40	195-206	devidamente	
1-41	207-215	guardado	
1-42	216-222	dentro	
1-43	223-226	das	
1-44	227-234	células	
1-45	234-235	.	
1-46	236-240	Como	
1-47	241-253	consequência	
1-48	253-254	,	
1-49	255-256	o	
1-50	257-266	organismo	
1-51	267-270	não	
1-52	271-279	consegue	
1-53	280-288	utilizar	
1-54	289-292	bem	
1-55	293-294	o	
1-56	295-301	açúcar	
1-57	301-302	,	
1-58	303-304	e	
1-59	305-306	a	
1-60	307-313	pessoa	
1-61	314-322	sente-se	
1-62	323-330	cansada	
1-63	331-332	e	
1-64	333-336	com	
1-65	337-341	sono	
1-66	342-347	mesmo	
1-67	348-351	que	
1-68	352-357	tenha	
1-69	358-360	se	
1-70	361-371	alimentado	
1-71	372-384	recentemente	
1-72	384-385	.	
1-73	386-387	A	
1-74	388-396	sensação	
1-75	397-398	é	
1-76	399-407	parecida	
1-77	408-411	com	
1-78	412-413	a	
1-79	414-416	de	
1-80	417-423	quando	
1-81	424-426	se	
1-82	427-431	está	
1-83	432-435	com	
1-84	436-437	a	
1-85	438-445	pressão	
1-86	446-451	baixa	
1-87	451-452	.	
