#FORMAT=WebAnno TSV 3.2


#Text=No tratamento da pessoa com diabetes, os valores ideais de glicose no sangue (glicemia) dependem de vários fatores, como a hora do dia em que a medida é feita e quando foi consumida a última refeição. Por isso, é muito importante que você especifique em qual momento do dia foi feita essa medida. De modo geral, em jejum e antes das refeições, a glicemia alvo está entre 80 e 130. Por outro lado, até 2 horas depois das refeições, tolera-se uma glicemia de até 180. No entanto, essa meta pode ser alterada de acordo com algumas características de cada indivíduo. Nesse sentido, o médico pode optar por fazer um controle mais restrito em pessoas jovens, saudáveis e/ou com pouco tempo de diabetes, buscando valores de glicemia mais baixos. Por outro lado, pode-se tolerar um controle menos restrito em pessoas idosas, com outros problemas de saúde e/ou com longo tempo de diabetes, estabelecendo metas de glicemia mais altas. Portanto, ainda que seu exame esteja dentro das metas acima, pode ser que elas não sejam as mais adequadas para você, por isso é muito importante que você mantenha controle regular com um médico, que irá estabelecer o melhor tratamento para o seu caso.
1-1	0-2	No	
1-2	3-13	tratamento	
1-3	14-16	da	
1-4	17-23	pessoa	
1-5	24-27	com	
1-6	28-36	diabetes	
1-7	36-37	,	
1-8	38-40	os	
1-9	41-48	valores	
1-10	49-55	ideais	
1-11	56-58	de	
1-12	59-66	glicose	
1-13	67-69	no	
1-14	70-76	sangue	
1-15	77-78	(	
1-16	78-86	glicemia	
1-17	86-87	)	
1-18	88-96	dependem	
1-19	97-99	de	
1-20	100-106	vários	
1-21	107-114	fatores	
1-22	114-115	,	
1-23	116-120	como	
1-24	121-122	a	
1-25	123-127	hora	
1-26	128-130	do	
1-27	131-134	dia	
1-28	135-137	em	
1-29	138-141	que	
1-30	142-143	a	
1-31	144-150	medida	
1-32	151-152	é	
1-33	153-158	feita	
1-34	159-160	e	
1-35	161-167	quando	
1-36	168-171	foi	
1-37	172-181	consumida	
1-38	182-183	a	
1-39	184-190	última	
1-40	191-199	refeição	
1-41	199-200	.	
1-42	201-204	Por	
1-43	205-209	isso	
1-44	209-210	,	
1-45	211-212	é	
1-46	213-218	muito	
1-47	219-229	importante	
1-48	230-233	que	
1-49	234-238	você	
1-50	239-250	especifique	
1-51	251-253	em	
1-52	254-258	qual	
1-53	259-266	momento	
1-54	267-269	do	
1-55	270-273	dia	
1-56	274-277	foi	
1-57	278-283	feita	
1-58	284-288	essa	
1-59	289-295	medida	
1-60	295-296	.	
1-61	297-299	De	
1-62	300-304	modo	
1-63	305-310	geral	
1-64	310-311	,	
1-65	312-314	em	
1-66	315-320	jejum	
1-67	321-322	e	
1-68	323-328	antes	
1-69	329-332	das	
1-70	333-342	refeições	
1-71	342-343	,	
1-72	344-345	a	
1-73	346-354	glicemia	
1-74	355-359	alvo	
1-75	360-364	está	
1-76	365-370	entre	
1-77	371-373	80	
1-78	374-375	e	
1-79	376-379	130	
1-80	379-380	.	
1-81	381-384	Por	
1-82	385-390	outro	
1-83	391-395	lado	
1-84	395-396	,	
1-85	397-400	até	
1-86	401-402	2	
1-87	403-408	horas	
1-88	409-415	depois	
1-89	416-419	das	
1-90	420-429	refeições	
1-91	429-430	,	
1-92	431-440	tolera-se	
1-93	441-444	uma	
1-94	445-453	glicemia	
1-95	454-456	de	
1-96	457-460	até	
1-97	461-464	180	
1-98	464-465	.	
1-99	466-468	No	
1-100	469-476	entanto	
1-101	476-477	,	
1-102	478-482	essa	
1-103	483-487	meta	
1-104	488-492	pode	
1-105	493-496	ser	
1-106	497-505	alterada	
1-107	506-508	de	
1-108	509-515	acordo	
1-109	516-519	com	
1-110	520-527	algumas	
1-111	528-543	características	
1-112	544-546	de	
1-113	547-551	cada	
1-114	552-561	indivíduo	
1-115	561-562	.	
1-116	563-568	Nesse	
1-117	569-576	sentido	
1-118	576-577	,	
1-119	578-579	o	
1-120	580-586	médico	
1-121	587-591	pode	
1-122	592-597	optar	
1-123	598-601	por	
1-124	602-607	fazer	
1-125	608-610	um	
1-126	611-619	controle	
1-127	620-624	mais	
1-128	625-633	restrito	
1-129	634-636	em	
1-130	637-644	pessoas	
1-131	645-651	jovens	
1-132	651-652	,	
1-133	653-662	saudáveis	
1-134	663-664	e	
1-135	664-665	/	
1-136	665-667	ou	
1-137	668-671	com	
1-138	672-677	pouco	
1-139	678-683	tempo	
1-140	684-686	de	
1-141	687-695	diabetes	
1-142	695-696	,	
1-143	697-705	buscando	
1-144	706-713	valores	
1-145	714-716	de	
1-146	717-725	glicemia	
1-147	726-730	mais	
1-148	731-737	baixos	
1-149	737-738	.	
1-150	739-742	Por	
1-151	743-748	outro	
1-152	749-753	lado	
1-153	753-754	,	
1-154	755-762	pode-se	
1-155	763-770	tolerar	
1-156	771-773	um	
1-157	774-782	controle	
1-158	783-788	menos	
1-159	789-797	restrito	
1-160	798-800	em	
1-161	801-808	pessoas	
1-162	809-815	idosas	
1-163	815-816	,	
1-164	817-820	com	
1-165	821-827	outros	
1-166	828-837	problemas	
1-167	838-840	de	
1-168	841-846	saúde	
1-169	847-848	e	
1-170	848-849	/	
1-171	849-851	ou	
1-172	852-855	com	
1-173	856-861	longo	
1-174	862-867	tempo	
1-175	868-870	de	
1-176	871-879	diabetes	
1-177	879-880	,	
1-178	881-894	estabelecendo	
1-179	895-900	metas	
1-180	901-903	de	
1-181	904-912	glicemia	
1-182	913-917	mais	
1-183	918-923	altas	
1-184	923-924	.	
1-185	925-933	Portanto	
1-186	933-934	,	
1-187	935-940	ainda	
1-188	941-944	que	
1-189	945-948	seu	
1-190	949-954	exame	
1-191	955-961	esteja	
1-192	962-968	dentro	
1-193	969-972	das	
1-194	973-978	metas	
1-195	979-984	acima	
1-196	984-985	,	
1-197	986-990	pode	
1-198	991-994	ser	
1-199	995-998	que	
1-200	999-1003	elas	
1-201	1004-1007	não	
1-202	1008-1013	sejam	
1-203	1014-1016	as	
1-204	1017-1021	mais	
1-205	1022-1031	adequadas	
1-206	1032-1036	para	
1-207	1037-1041	você	
1-208	1041-1042	,	
1-209	1043-1046	por	
1-210	1047-1051	isso	
1-211	1052-1053	é	
1-212	1054-1059	muito	
1-213	1060-1070	importante	
1-214	1071-1074	que	
1-215	1075-1079	você	
1-216	1080-1088	mantenha	
1-217	1089-1097	controle	
1-218	1098-1105	regular	
1-219	1106-1109	com	
1-220	1110-1112	um	
1-221	1113-1119	médico	
1-222	1119-1120	,	
1-223	1121-1124	que	
1-224	1125-1128	irá	
1-225	1129-1140	estabelecer	
1-226	1141-1142	o	
1-227	1143-1149	melhor	
1-228	1150-1160	tratamento	
1-229	1161-1165	para	
1-230	1166-1167	o	
1-231	1168-1171	seu	
1-232	1172-1176	caso	
1-233	1176-1177	.	
