#FORMAT=WebAnno TSV 3.2


#Text=A insulina pode contribuir para o ganho de peso, que é uma boa razão para manter um estilo de vida mais saudável possível. Às vezes, o ganho de peso também é observado quando se experimenta baixos níveis de glicose devido à insulina em excesso e come mais para compensar. Com paciência e ajustes, os requisitos de insulina podem ser alcançados. Sugiro que você obtenha assistência com sua dieta e contagem de carboidratos, se ainda não o fez.
1-1	0-1	A	
1-2	2-10	insulina	
1-3	11-15	pode	
1-4	16-26	contribuir	
1-5	27-31	para	
1-6	32-33	o	
1-7	34-39	ganho	
1-8	40-42	de	
1-9	43-47	peso	
1-10	47-48	,	
1-11	49-52	que	
1-12	53-54	é	
1-13	55-58	uma	
1-14	59-62	boa	
1-15	63-68	razão	
1-16	69-73	para	
1-17	74-80	manter	
1-18	81-83	um	
1-19	84-90	estilo	
1-20	91-93	de	
1-21	94-98	vida	
1-22	99-103	mais	
1-23	104-112	saudável	
1-24	113-121	possível	
1-25	121-122	.	
1-26	123-125	Às	
1-27	126-131	vezes	
1-28	131-132	,	
1-29	133-134	o	
1-30	135-140	ganho	
1-31	141-143	de	
1-32	144-148	peso	
1-33	149-155	também	
1-34	156-157	é	
1-35	158-167	observado	
1-36	168-174	quando	
1-37	175-177	se	
1-38	178-189	experimenta	
1-39	190-196	baixos	
1-40	197-203	níveis	
1-41	204-206	de	
1-42	207-214	glicose	
1-43	215-221	devido	
1-44	222-223	à	
1-45	224-232	insulina	
1-46	233-235	em	
1-47	236-243	excesso	
1-48	244-245	e	
1-49	246-250	come	
1-50	251-255	mais	
1-51	256-260	para	
1-52	261-270	compensar	
1-53	270-271	.	
1-54	272-275	Com	
1-55	276-285	paciência	
1-56	286-287	e	
1-57	288-295	ajustes	
1-58	295-296	,	
1-59	297-299	os	
1-60	300-310	requisitos	
1-61	311-313	de	
1-62	314-322	insulina	
1-63	323-328	podem	
1-64	329-332	ser	
1-65	333-343	alcançados	
1-66	343-344	.	
1-67	345-351	Sugiro	
1-68	352-355	que	
1-69	356-360	você	
1-70	361-368	obtenha	
1-71	369-380	assistência	
1-72	381-384	com	
1-73	385-388	sua	
1-74	389-394	dieta	
1-75	395-396	e	
1-76	397-405	contagem	
1-77	406-408	de	
1-78	409-421	carboidratos	
1-79	421-422	,	
1-80	423-425	se	
1-81	426-431	ainda	
1-82	432-435	não	
1-83	436-437	o	
1-84	438-441	fez	
1-85	441-442	.	
