#FORMAT=WebAnno TSV 3.2


#Text=Você se assegurou de suas tiras antigas estão atualizadas e calibradas? Sugiro que você ligue para as empresas dos dois aparelhos para obter uma explicação e, então, suponha que o medidor mais novo esteja fornecendo leituras mais precisas. Você pode verificar isso levando seu medidor ao consultório do médico na próxima vez que for fazer o teste no equipamento dele, se ele fizer isso no consultório. Geralmente, há alguma diferença entre os medidores, mas não pode ser muito grande.
1-1	0-4	Você	
1-2	5-7	se	
1-3	8-17	assegurou	
1-4	18-20	de	
1-5	21-25	suas	
1-6	26-31	tiras	
1-7	32-39	antigas	
1-8	40-45	estão	
1-9	46-57	atualizadas	
1-10	58-59	e	
1-11	60-70	calibradas	
1-12	70-71	?	
1-13	72-78	Sugiro	
1-14	79-82	que	
1-15	83-87	você	
1-16	88-93	ligue	
1-17	94-98	para	
1-18	99-101	as	
1-19	102-110	empresas	
1-20	111-114	dos	
1-21	115-119	dois	
1-22	120-129	aparelhos	
1-23	130-134	para	
1-24	135-140	obter	
1-25	141-144	uma	
1-26	145-155	explicação	
1-27	156-157	e	
1-28	157-158	,	
1-29	159-164	então	
1-30	164-165	,	
1-31	166-173	suponha	
1-32	174-177	que	
1-33	178-179	o	
1-34	180-187	medidor	
1-35	188-192	mais	
1-36	193-197	novo	
1-37	198-204	esteja	
1-38	205-215	fornecendo	
1-39	216-224	leituras	
1-40	225-229	mais	
1-41	230-238	precisas	
1-42	238-239	.	
1-43	240-244	Você	
1-44	245-249	pode	
1-45	250-259	verificar	
1-46	260-264	isso	
1-47	265-272	levando	
1-48	273-276	seu	
1-49	277-284	medidor	
1-50	285-287	ao	
1-51	288-299	consultório	
1-52	300-302	do	
1-53	303-309	médico	
1-54	310-312	na	
1-55	313-320	próxima	
1-56	321-324	vez	
1-57	325-328	que	
1-58	329-332	for	
1-59	333-338	fazer	
1-60	339-340	o	
1-61	341-346	teste	
1-62	347-349	no	
1-63	350-361	equipamento	
1-64	362-366	dele	
1-65	366-367	,	
1-66	368-370	se	
1-67	371-374	ele	
1-68	375-380	fizer	
1-69	381-385	isso	
1-70	386-388	no	
1-71	389-400	consultório	
1-72	400-401	.	
1-73	402-412	Geralmente	
1-74	412-413	,	
1-75	414-416	há	
1-76	417-423	alguma	
1-77	424-433	diferença	
1-78	434-439	entre	
1-79	440-442	os	
1-80	443-452	medidores	
1-81	452-453	,	
1-82	454-457	mas	
1-83	458-461	não	
1-84	462-466	pode	
1-85	467-470	ser	
1-86	471-476	muito	
1-87	477-483	grande	
1-88	483-484	.	
