#FORMAT=WebAnno TSV 3.2


#Text=É importante que você explique melhor como são essas dores. Quando surgem? Dói muito? O que faz melhorar e o que faz piorar essa dor? A dor caminha para algum lugar? Já tem quanto tempo que você tem essa dor? Ela sempre vem? O que faz com que a dor inicie? Além disso, é importante queo joelho seja examinado. Portanto, o mais indicado é que você procure um médico.
1-1	0-1	É	
1-2	2-12	importante	
1-3	13-16	que	
1-4	17-21	você	
1-5	22-30	explique	
1-6	31-37	melhor	
1-7	38-42	como	
1-8	43-46	são	
1-9	47-52	essas	
1-10	53-58	dores	
1-11	58-59	.	
1-12	60-66	Quando	
1-13	67-73	surgem	
1-14	73-74	?	
1-15	75-78	Dói	
1-16	79-84	muito	
1-17	84-85	?	
1-18	86-87	O	
1-19	88-91	que	
1-20	92-95	faz	
1-21	96-104	melhorar	
1-22	105-106	e	
1-23	107-108	o	
1-24	109-112	que	
1-25	113-116	faz	
1-26	117-123	piorar	
1-27	124-128	essa	
1-28	129-132	dor	
1-29	132-133	?	
1-30	134-135	A	
1-31	136-139	dor	
1-32	140-147	caminha	
1-33	148-152	para	
1-34	153-158	algum	
1-35	159-164	lugar	
1-36	164-165	?	
1-37	166-168	Já	
1-38	169-172	tem	
1-39	173-179	quanto	
1-40	180-185	tempo	
1-41	186-189	que	
1-42	190-194	você	
1-43	195-198	tem	
1-44	199-203	essa	
1-45	204-207	dor	
1-46	207-208	?	
1-47	209-212	Ela	
1-48	213-219	sempre	
1-49	220-223	vem	
1-50	223-224	?	
1-51	225-226	O	
1-52	227-230	que	
1-53	231-234	faz	
1-54	235-238	com	
1-55	239-242	que	
1-56	243-244	a	
1-57	245-248	dor	
1-58	249-255	inicie	
1-59	255-256	?	
1-60	257-261	Além	
1-61	262-267	disso	
1-62	267-268	,	
1-63	269-270	é	
1-64	271-281	importante	
1-65	282-286	queo	
1-66	287-293	joelho	
1-67	294-298	seja	
1-68	299-308	examinado	
1-69	308-309	.	
1-70	310-318	Portanto	
1-71	318-319	,	
1-72	320-321	o	
1-73	322-326	mais	
1-74	327-335	indicado	
1-75	336-337	é	
1-76	338-341	que	
1-77	342-346	você	
1-78	347-354	procure	
1-79	355-357	um	
1-80	358-364	médico	
1-81	364-365	.	
