#FORMAT=WebAnno TSV 3.2


#Text=Se você estiver bem controlado do seu diabetes, então o risco de fazer uma tatuagem são os mesmos de qualquer outra pessoa.
1-1	0-2	Se	
1-2	3-7	você	
1-3	8-15	estiver	
1-4	16-19	bem	
1-5	20-30	controlado	
1-6	31-33	do	
1-7	34-37	seu	
1-8	38-46	diabetes	
1-9	46-47	,	
1-10	48-53	então	
1-11	54-55	o	
1-12	56-61	risco	
1-13	62-64	de	
1-14	65-70	fazer	
1-15	71-74	uma	
1-16	75-83	tatuagem	
1-17	84-87	são	
1-18	88-90	os	
1-19	91-97	mesmos	
1-20	98-100	de	
1-21	101-109	qualquer	
1-22	110-115	outra	
1-23	116-122	pessoa	
1-24	122-123	.	
