#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=O maior desgaste do corpo parece vir de níveis instáveis durante o dia, e não de níveis estáveis mas levemente altos em jejum. Seria bom se a glicemia estivesse abaixo de 100, idealmente entre 80 e 90, mas se você for regrado no seu estilo de vida, poderá manter uma boa saúde. Certos hormônios elevam os níveis noturnos, contribuindo para picos matinais.
1-1	0-1	O	_	
1-2	2-7	maior	_	
1-3	8-16	desgaste	_	
1-4	17-19	do	_	
1-5	20-25	corpo	_	
1-6	26-32	parece	_	
1-7	33-36	vir	_	
1-8	37-39	de	_	
1-9	40-46	níveis	_	
1-10	47-56	instáveis	_	
1-11	57-64	durante	_	
1-12	65-66	o	_	
1-13	67-70	dia	_	
1-14	70-71	,	_	
1-15	72-73	e	_	
1-16	74-77	não	_	
1-17	78-80	de	_	
1-18	81-87	níveis	_	
1-19	88-96	estáveis	_	
1-20	97-100	mas	_	
1-21	101-110	levemente	_	
1-22	111-116	altos	_	
1-23	117-119	em	Time[1]	
1-24	120-125	jejum	Time[1]	
1-25	125-126	.	_	
1-26	127-132	Seria	_	
1-27	133-136	bom	_	
1-28	137-139	se	_	
1-29	140-141	a	_	
1-30	142-150	glicemia	_	
1-31	151-160	estivesse	_	
1-32	161-167	abaixo	GlucoseValue[2]	
1-33	168-170	de	GlucoseValue[2]	
1-34	171-174	100	GlucoseValue[2]	
1-35	174-175	,	_	
1-36	176-186	idealmente	_	
1-37	187-192	entre	GlucoseValue[3]	
1-38	193-195	80	GlucoseValue[3]	
1-39	196-197	e	GlucoseValue[3]	
1-40	198-200	90	GlucoseValue[3]	
1-41	200-201	,	_	
1-42	202-205	mas	_	
1-43	206-208	se	_	
1-44	209-213	você	_	
1-45	214-217	for	_	
1-46	218-225	regrado	_	
1-47	226-228	no	_	
1-48	229-232	seu	_	
1-49	233-239	estilo	_	
1-50	240-242	de	_	
1-51	243-247	vida	_	
1-52	247-248	,	_	
1-53	249-255	poderá	_	
1-54	256-262	manter	_	
1-55	263-266	uma	_	
1-56	267-270	boa	_	
1-57	271-276	saúde	_	
1-58	276-277	.	_	
1-59	278-284	Certos	_	
1-60	285-294	hormônios	_	
1-61	295-301	elevam	_	
1-62	302-304	os	_	
1-63	305-311	níveis	_	
1-64	312-320	noturnos	_	
1-65	320-321	,	_	
1-66	322-334	contribuindo	_	
1-67	335-339	para	_	
1-68	340-345	picos	_	
1-69	346-354	matinais	_	
1-70	354-355	.	_	
