#FORMAT=WebAnno TSV 3.2


#Text=Se você estiver bem controlado do seu diabetes, então o risco de fazer uma tatuagem são os mesmos de qualquer outra pessoa. Porém, pessoas com diabetes descontrolado e/ou uma glicemia que varie muito, têm uma cicatrização prejudicada. Por isso, o ideal é perguntar ao seu médico se você pode ou não fazer tatuagens.
1-1	0-2	Se	
1-2	3-7	você	
1-3	8-15	estiver	
1-4	16-19	bem	
1-5	20-30	controlado	
1-6	31-33	do	
1-7	34-37	seu	
1-8	38-46	diabetes	
1-9	46-47	,	
1-10	48-53	então	
1-11	54-55	o	
1-12	56-61	risco	
1-13	62-64	de	
1-14	65-70	fazer	
1-15	71-74	uma	
1-16	75-83	tatuagem	
1-17	84-87	são	
1-18	88-90	os	
1-19	91-97	mesmos	
1-20	98-100	de	
1-21	101-109	qualquer	
1-22	110-115	outra	
1-23	116-122	pessoa	
1-24	122-123	.	
1-25	124-129	Porém	
1-26	129-130	,	
1-27	131-138	pessoas	
1-28	139-142	com	
1-29	143-151	diabetes	
1-30	152-165	descontrolado	
1-31	166-167	e	
1-32	167-168	/	
1-33	168-170	ou	
1-34	171-174	uma	
1-35	175-183	glicemia	
1-36	184-187	que	
1-37	188-193	varie	
1-38	194-199	muito	
1-39	199-200	,	
1-40	201-204	têm	
1-41	205-208	uma	
1-42	209-221	cicatrização	
1-43	222-233	prejudicada	
1-44	233-234	.	
1-45	235-238	Por	
1-46	239-243	isso	
1-47	243-244	,	
1-48	245-246	o	
1-49	247-252	ideal	
1-50	253-254	é	
1-51	255-264	perguntar	
1-52	265-267	ao	
1-53	268-271	seu	
1-54	272-278	médico	
1-55	279-281	se	
1-56	282-286	você	
1-57	287-291	pode	
1-58	292-294	ou	
1-59	295-298	não	
1-60	299-304	fazer	
1-61	305-314	tatuagens	
1-62	314-315	.	
