#FORMAT=WebAnno TSV 3.2


#Text=Esses não são sintomas típicos de diabetes. No entanto, não devem ser ignorados, pois podem indicar algum outro problema de saúde! Portanto, é importante que se procure um médico.
1-1	0-5	Esses	
1-2	6-9	não	
1-3	10-13	são	
1-4	14-22	sintomas	
1-5	23-30	típicos	
1-6	31-33	de	
1-7	34-42	diabetes	
1-8	42-43	.	
1-9	44-46	No	
1-10	47-54	entanto	
1-11	54-55	,	
1-12	56-59	não	
1-13	60-65	devem	
1-14	66-69	ser	
1-15	70-79	ignorados	
1-16	79-80	,	
1-17	81-85	pois	
1-18	86-91	podem	
1-19	92-99	indicar	
1-20	100-105	algum	
1-21	106-111	outro	
1-22	112-120	problema	
1-23	121-123	de	
1-24	124-129	saúde	
1-25	129-130	!	
1-26	131-139	Portanto	
1-27	139-140	,	
1-28	141-142	é	
1-29	143-153	importante	
1-30	154-157	que	
1-31	158-160	se	
1-32	161-168	procure	
1-33	169-171	um	
1-34	172-178	médico	
1-35	178-179	.	
