#FORMAT=WebAnno TSV 3.2


#Text=O aparelho que mede a glicose se chama glicosímetro, que serve para se ter uma noção de como está a glicemia (glicose no sangue) no momento em que se usa esse aparelho. Dessa forma, não é necessário ir toda vez ao laboratório e tirar sangue. No entanto, só pacientes que necessitam fazer uso da insulina precisam utilizar esse aparelho. Se você não faz uso de insulina, não precisa se preocupar! Não é necessário utilizá-lo! Sobre a marca, não posso te falar sobre uma em especial, recomendo que converse melhor com o seu médico.
1-1	0-1	O	
1-2	2-10	aparelho	
1-3	11-14	que	
1-4	15-19	mede	
1-5	20-21	a	
1-6	22-29	glicose	
1-7	30-32	se	
1-8	33-38	chama	
1-9	39-51	glicosímetro	
1-10	51-52	,	
1-11	53-56	que	
1-12	57-62	serve	
1-13	63-67	para	
1-14	68-70	se	
1-15	71-74	ter	
1-16	75-78	uma	
1-17	79-84	noção	
1-18	85-87	de	
1-19	88-92	como	
1-20	93-97	está	
1-21	98-99	a	
1-22	100-108	glicemia	
1-23	109-110	(	
1-24	110-117	glicose	
1-25	118-120	no	
1-26	121-127	sangue	
1-27	127-128	)	
1-28	129-131	no	
1-29	132-139	momento	
1-30	140-142	em	
1-31	143-146	que	
1-32	147-149	se	
1-33	150-153	usa	
1-34	154-158	esse	
1-35	159-167	aparelho	
1-36	167-168	.	
1-37	169-174	Dessa	
1-38	175-180	forma	
1-39	180-181	,	
1-40	182-185	não	
1-41	186-187	é	
1-42	188-198	necessário	
1-43	199-201	ir	
1-44	202-206	toda	
1-45	207-210	vez	
1-46	211-213	ao	
1-47	214-225	laboratório	
1-48	226-227	e	
1-49	228-233	tirar	
1-50	234-240	sangue	
1-51	240-241	.	
1-52	242-244	No	
1-53	245-252	entanto	
1-54	252-253	,	
1-55	254-256	só	
1-56	257-266	pacientes	
1-57	267-270	que	
1-58	271-281	necessitam	
1-59	282-287	fazer	
1-60	288-291	uso	
1-61	292-294	da	
1-62	295-303	insulina	
1-63	304-312	precisam	
1-64	313-321	utilizar	
1-65	322-326	esse	
1-66	327-335	aparelho	
1-67	335-336	.	
1-68	337-339	Se	
1-69	340-344	você	
1-70	345-348	não	
1-71	349-352	faz	
1-72	353-356	uso	
1-73	357-359	de	
1-74	360-368	insulina	
1-75	368-369	,	
1-76	370-373	não	
1-77	374-381	precisa	
1-78	382-384	se	
1-79	385-394	preocupar	
1-80	394-395	!	
1-81	396-399	Não	
1-82	400-401	é	
1-83	402-412	necessário	
1-84	413-423	utilizá-lo	
1-85	423-424	!	
1-86	425-430	Sobre	
1-87	431-432	a	
1-88	433-438	marca	
1-89	438-439	,	
1-90	440-443	não	
1-91	444-449	posso	
1-92	450-452	te	
1-93	453-458	falar	
1-94	459-464	sobre	
1-95	465-468	uma	
1-96	469-471	em	
1-97	472-480	especial	
1-98	480-481	,	
1-99	482-491	recomendo	
1-100	492-495	que	
1-101	496-504	converse	
1-102	505-511	melhor	
1-103	512-515	com	
1-104	516-517	o	
1-105	518-521	seu	
1-106	522-528	médico	
1-107	528-529	.	
