#FORMAT=WebAnno TSV 3.2


#Text=O consumo de chás pode trazer vários benefícios à saúde, uma vez que eles contêm substâncias antioxidantes, compostos bioativos e fitoquímicos. Seu consumo regular, aliado a práticas saudáveis, como a alimentação adequada e a prática de exercícios físicos, contribui para a manutenção de uma vida saudável. No entanto, apesar de haver relatos que indiquem que alguns chás consigam abaixar a concentração de açúcar no sangue, não existem estudos que comprovem a eficácia dessa bebida no controle do diabetes e da pressão. Sendo assim, não se deve substituir a medicação prescrita pelo consumo de chás ou de qualquer outro fitoterápico.
1-1	0-1	O	
1-2	2-9	consumo	
1-3	10-12	de	
1-4	13-17	chás	
1-5	18-22	pode	
1-6	23-29	trazer	
1-7	30-36	vários	
1-8	37-47	benefícios	
1-9	48-49	à	
1-10	50-55	saúde	
1-11	55-56	,	
1-12	57-60	uma	
1-13	61-64	vez	
1-14	65-68	que	
1-15	69-73	eles	
1-16	74-80	contêm	
1-17	81-92	substâncias	
1-18	93-106	antioxidantes	
1-19	106-107	,	
1-20	108-117	compostos	
1-21	118-127	bioativos	
1-22	128-129	e	
1-23	130-142	fitoquímicos	
1-24	142-143	.	
1-25	144-147	Seu	
1-26	148-155	consumo	
1-27	156-163	regular	
1-28	163-164	,	
1-29	165-171	aliado	
1-30	172-173	a	
1-31	174-182	práticas	
1-32	183-192	saudáveis	
1-33	192-193	,	
1-34	194-198	como	
1-35	199-200	a	
1-36	201-212	alimentação	
1-37	213-221	adequada	
1-38	222-223	e	
1-39	224-225	a	
1-40	226-233	prática	
1-41	234-236	de	
1-42	237-247	exercícios	
1-43	248-255	físicos	
1-44	255-256	,	
1-45	257-266	contribui	
1-46	267-271	para	
1-47	272-273	a	
1-48	274-284	manutenção	
1-49	285-287	de	
1-50	288-291	uma	
1-51	292-296	vida	
1-52	297-305	saudável	
1-53	305-306	.	
1-54	307-309	No	
1-55	310-317	entanto	
1-56	317-318	,	
1-57	319-325	apesar	
1-58	326-328	de	
1-59	329-334	haver	
1-60	335-342	relatos	
1-61	343-346	que	
1-62	347-355	indiquem	
1-63	356-359	que	
1-64	360-366	alguns	
1-65	367-371	chás	
1-66	372-380	consigam	
1-67	381-388	abaixar	
1-68	389-390	a	
1-69	391-403	concentração	
1-70	404-406	de	
1-71	407-413	açúcar	
1-72	414-416	no	
1-73	417-423	sangue	
1-74	423-424	,	
1-75	425-428	não	
1-76	429-436	existem	
1-77	437-444	estudos	
1-78	445-448	que	
1-79	449-458	comprovem	
1-80	459-460	a	
1-81	461-469	eficácia	
1-82	470-475	dessa	
1-83	476-482	bebida	
1-84	483-485	no	
1-85	486-494	controle	
1-86	495-497	do	
1-87	498-506	diabetes	
1-88	507-508	e	
1-89	509-511	da	
1-90	512-519	pressão	
1-91	519-520	.	
1-92	521-526	Sendo	
1-93	527-532	assim	
1-94	532-533	,	
1-95	534-537	não	
1-96	538-540	se	
1-97	541-545	deve	
1-98	546-556	substituir	
1-99	557-558	a	
1-100	559-568	medicação	
1-101	569-578	prescrita	
1-102	579-583	pelo	
1-103	584-591	consumo	
1-104	592-594	de	
1-105	595-599	chás	
1-106	600-602	ou	
1-107	603-605	de	
1-108	606-614	qualquer	
1-109	615-620	outro	
1-110	621-633	fitoterápico	
1-111	633-634	.	
