#FORMAT=WebAnno TSV 3.2


#Text=Todos os medicamentos têm potenciais efeitos colaterais. Ao tomar metformina, você deve verificar as enzimas hepáticas a cada 3 meses, pelo menos inicialmente, certificando-se de que estão estabilizadas. Este é um ótimo momento para você realmente começar um Plano de Estilo de Vida Saudável, trabalhando para reduzir o excesso de gordura corporal, se isso for um problema. É possível reduzir/interromper a medicação e existem aqueles que conseguiram manter os níveis de glicose sem medicação. Obtenha toda a assistência necessária aqui se não tiver certeza sobre a ingestão de alimentos integrais e um estilo de vida ativo. Existem suplementos nutricionais que também são úteis. O que é melhor para você dependerá em parte de quaisquer outras condições de saúde/medicamentos que você possa estar tomando. Com paciência, foco e tempo gasto para aprender sobre sua condição, você certamente deve progredir.
1-1	0-5	Todos	
1-2	6-8	os	
1-3	9-21	medicamentos	
1-4	22-25	têm	
1-5	26-36	potenciais	
1-6	37-44	efeitos	
1-7	45-55	colaterais	
1-8	55-56	.	
1-9	57-59	Ao	
1-10	60-65	tomar	
1-11	66-76	metformina	
1-12	76-77	,	
1-13	78-82	você	
1-14	83-87	deve	
1-15	88-97	verificar	
1-16	98-100	as	
1-17	101-108	enzimas	
1-18	109-118	hepáticas	
1-19	119-120	a	
1-20	121-125	cada	
1-21	126-127	3	
1-22	128-133	meses	
1-23	133-134	,	
1-24	135-139	pelo	
1-25	140-145	menos	
1-26	146-158	inicialmente	
1-27	158-159	,	
1-28	160-175	certificando-se	
1-29	176-178	de	
1-30	179-182	que	
1-31	183-188	estão	
1-32	189-202	estabilizadas	
1-33	202-203	.	
1-34	204-208	Este	
1-35	209-210	é	
1-36	211-213	um	
1-37	214-219	ótimo	
1-38	220-227	momento	
1-39	228-232	para	
1-40	233-237	você	
1-41	238-247	realmente	
1-42	248-255	começar	
1-43	256-258	um	
1-44	259-264	Plano	
1-45	265-267	de	
1-46	268-274	Estilo	
1-47	275-277	de	
1-48	278-282	Vida	
1-49	283-291	Saudável	
1-50	291-292	,	
1-51	293-304	trabalhando	
1-52	305-309	para	
1-53	310-317	reduzir	
1-54	318-319	o	
1-55	320-327	excesso	
1-56	328-330	de	
1-57	331-338	gordura	
1-58	339-347	corporal	
1-59	347-348	,	
1-60	349-351	se	
1-61	352-356	isso	
1-62	357-360	for	
1-63	361-363	um	
1-64	364-372	problema	
1-65	372-373	.	
1-66	374-375	É	
1-67	376-384	possível	
1-68	385-392	reduzir	
1-69	392-393	/	
1-70	393-404	interromper	
1-71	405-406	a	
1-72	407-416	medicação	
1-73	417-418	e	
1-74	419-426	existem	
1-75	427-434	aqueles	
1-76	435-438	que	
1-77	439-450	conseguiram	
1-78	451-457	manter	
1-79	458-460	os	
1-80	461-467	níveis	
1-81	468-470	de	
1-82	471-478	glicose	
1-83	479-482	sem	
1-84	483-492	medicação	
1-85	492-493	.	
1-86	494-501	Obtenha	
1-87	502-506	toda	
1-88	507-508	a	
1-89	509-520	assistência	
1-90	521-531	necessária	
1-91	532-536	aqui	
1-92	537-539	se	
1-93	540-543	não	
1-94	544-549	tiver	
1-95	550-557	certeza	
1-96	558-563	sobre	
1-97	564-565	a	
1-98	566-574	ingestão	
1-99	575-577	de	
1-100	578-587	alimentos	
1-101	588-597	integrais	
1-102	598-599	e	
1-103	600-602	um	
1-104	603-609	estilo	
1-105	610-612	de	
1-106	613-617	vida	
1-107	618-623	ativo	
1-108	623-624	.	
1-109	625-632	Existem	
1-110	633-644	suplementos	
1-111	645-657	nutricionais	
1-112	658-661	que	
1-113	662-668	também	
1-114	669-672	são	
1-115	673-678	úteis	
1-116	678-679	.	
1-117	680-681	O	
1-118	682-685	que	
1-119	686-687	é	
1-120	688-694	melhor	
1-121	695-699	para	
1-122	700-704	você	
1-123	705-714	dependerá	
1-124	715-717	em	
1-125	718-723	parte	
1-126	724-726	de	
1-127	727-736	quaisquer	
1-128	737-743	outras	
1-129	744-753	condições	
1-130	754-756	de	
1-131	757-762	saúde	
1-132	762-763	/	
1-133	763-775	medicamentos	
1-134	776-779	que	
1-135	780-784	você	
1-136	785-790	possa	
1-137	791-796	estar	
1-138	797-804	tomando	
1-139	804-805	.	
1-140	806-809	Com	
1-141	810-819	paciência	
1-142	819-820	,	
1-143	821-825	foco	
1-144	826-827	e	
1-145	828-833	tempo	
1-146	834-839	gasto	
1-147	840-844	para	
1-148	845-853	aprender	
1-149	854-859	sobre	
1-150	860-863	sua	
1-151	864-872	condição	
1-152	872-873	,	
1-153	874-878	você	
1-154	879-889	certamente	
1-155	890-894	deve	
1-156	895-904	progredir	
1-157	904-905	.	
