#FORMAT=WebAnno TSV 3.2


#Text=O uso de medicamentos deve ser individualizado considerando a condição de cada pessoa. Existem diversos tipos de medicações, de forma que é necessário fazer uma avaliação mais global da saúde e história médica antes de indicar qual é o remédio mais adequado para cada paciente.
1-1	0-1	O	
1-2	2-5	uso	
1-3	6-8	de	
1-4	9-21	medicamentos	
1-5	22-26	deve	
1-6	27-30	ser	
1-7	31-46	individualizado	
1-8	47-59	considerando	
1-9	60-61	a	
1-10	62-70	condição	
1-11	71-73	de	
1-12	74-78	cada	
1-13	79-85	pessoa	
1-14	85-86	.	
1-15	87-94	Existem	
1-16	95-103	diversos	
1-17	104-109	tipos	
1-18	110-112	de	
1-19	113-123	medicações	
1-20	123-124	,	
1-21	125-127	de	
1-22	128-133	forma	
1-23	134-137	que	
1-24	138-139	é	
1-25	140-150	necessário	
1-26	151-156	fazer	
1-27	157-160	uma	
1-28	161-170	avaliação	
1-29	171-175	mais	
1-30	176-182	global	
1-31	183-185	da	
1-32	186-191	saúde	
1-33	192-193	e	
1-34	194-202	história	
1-35	203-209	médica	
1-36	210-215	antes	
1-37	216-218	de	
1-38	219-226	indicar	
1-39	227-231	qual	
1-40	232-233	é	
1-41	234-235	o	
1-42	236-243	remédio	
1-43	244-248	mais	
1-44	249-257	adequado	
1-45	258-262	para	
1-46	263-267	cada	
1-47	268-276	paciente	
1-48	276-277	.	
