#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=O uso da Metformina pode provocar falta de apetite, náusea, vômitos, dor abdominal (cólica) e diarreia. Estes efeitos colaterais costumam desaparecer ou diminuir depois de alguns meses usando esse remédio. É sempre importante conversar com o seu médico a respeito do que você está sentindo. Ele pode mudar a dose da Metformina ou pensar em substituir por algum outro remédio que tenha menos efeitos colaterais.
1-1	0-1	O	_	_	_	
1-2	2-5	uso	_	_	_	
1-3	6-8	da	_	_	_	
1-4	9-19	Metformina	Medication	_	_	
1-5	20-24	pode	_	_	_	
1-6	25-33	provocar	_	_	_	
1-7	34-39	falta	Symptom[1]	causes	1-4[0_1]	
1-8	40-42	de	Symptom[1]	_	_	
1-9	43-50	apetite	Symptom[1]	_	_	
1-10	50-51	,	_	_	_	
1-11	52-58	náusea	Symptom	causes	1-4	
1-12	58-59	,	_	_	_	
1-13	60-67	vômitos	Symptom	causes	1-4	
1-14	67-68	,	_	_	_	
1-15	69-72	dor	Symptom[2]	causes	1-4[0_2]	
1-16	73-82	abdominal	Symptom[2]	_	_	
1-17	83-84	(	_	_	_	
1-18	84-90	cólica	Symptom	causes	1-4	
1-19	90-91	)	_	_	_	
1-20	92-93	e	_	_	_	
1-21	94-102	diarreia	Symptom	causes	1-4	
1-22	102-103	.	_	_	_	
1-23	104-109	Estes	_	_	_	
1-24	110-117	efeitos	_	_	_	
1-25	118-128	colaterais	_	_	_	
1-26	129-137	costumam	_	_	_	
1-27	138-149	desaparecer	_	_	_	
1-28	150-152	ou	_	_	_	
1-29	153-161	diminuir	_	_	_	
1-30	162-168	depois	_	_	_	
1-31	169-171	de	_	_	_	
1-32	172-178	alguns	_	_	_	
1-33	179-184	meses	_	_	_	
1-34	185-191	usando	_	_	_	
1-35	192-196	esse	_	_	_	
1-36	197-204	remédio	_	_	_	
1-37	204-205	.	_	_	_	
1-38	206-207	É	_	_	_	
1-39	208-214	sempre	_	_	_	
1-40	215-225	importante	_	_	_	
1-41	226-235	conversar	_	_	_	
1-42	236-239	com	_	_	_	
1-43	240-241	o	_	_	_	
1-44	242-245	seu	_	_	_	
1-45	246-252	médico	_	_	_	
1-46	253-254	a	_	_	_	
1-47	255-263	respeito	_	_	_	
1-48	264-266	do	_	_	_	
1-49	267-270	que	_	_	_	
1-50	271-275	você	_	_	_	
1-51	276-280	está	_	_	_	
1-52	281-289	sentindo	_	_	_	
1-53	289-290	.	_	_	_	
1-54	291-294	Ele	_	_	_	
1-55	295-299	pode	_	_	_	
1-56	300-305	mudar	_	_	_	
1-57	306-307	a	_	_	_	
1-58	308-312	dose	_	_	_	
1-59	313-315	da	_	_	_	
1-60	316-326	Metformina	Medication	_	_	
1-61	327-329	ou	_	_	_	
1-62	330-336	pensar	_	_	_	
1-63	337-339	em	_	_	_	
1-64	340-350	substituir	_	_	_	
1-65	351-354	por	_	_	_	
1-66	355-360	algum	_	_	_	
1-67	361-366	outro	_	_	_	
1-68	367-374	remédio	_	_	_	
1-69	375-378	que	_	_	_	
1-70	379-384	tenha	_	_	_	
1-71	385-390	menos	_	_	_	
1-72	391-398	efeitos	_	_	_	
1-73	399-409	colaterais	_	_	_	
1-74	409-410	.	_	_	_	
