#FORMAT=WebAnno TSV 3.2


#Text=Grão de bico é um alimento fonte de fibras e que possui baixo índice glicêmico, o que indica que será absorvido mais lentamente, e o aumento da glicose será gradual. Todo alimento fonte de carboidratos aumentará a glicose, mas o importante é controlar esse aumento para evitar os picos glicêmicos. Quando ingerido de maneira balanceada, grão de bico é uma boa opção, mas ter uma dieta equilibrada em nutrientes e calorias é essencial para o controle do diabetes. Procure um nutricionista (disponível gratuitamente no SUS) para montar um plano alimentar que seja ideal para você e suas necessidades.
1-1	0-4	Grão	
1-2	5-7	de	
1-3	8-12	bico	
1-4	13-14	é	
1-5	15-17	um	
1-6	18-26	alimento	
1-7	27-32	fonte	
1-8	33-35	de	
1-9	36-42	fibras	
1-10	43-44	e	
1-11	45-48	que	
1-12	49-55	possui	
1-13	56-61	baixo	
1-14	62-68	índice	
1-15	69-78	glicêmico	
1-16	78-79	,	
1-17	80-81	o	
1-18	82-85	que	
1-19	86-92	indica	
1-20	93-96	que	
1-21	97-101	será	
1-22	102-111	absorvido	
1-23	112-116	mais	
1-24	117-127	lentamente	
1-25	127-128	,	
1-26	129-130	e	
1-27	131-132	o	
1-28	133-140	aumento	
1-29	141-143	da	
1-30	144-151	glicose	
1-31	152-156	será	
1-32	157-164	gradual	
1-33	164-165	.	
1-34	166-170	Todo	
1-35	171-179	alimento	
1-36	180-185	fonte	
1-37	186-188	de	
1-38	189-201	carboidratos	
1-39	202-211	aumentará	
1-40	212-213	a	
1-41	214-221	glicose	
1-42	221-222	,	
1-43	223-226	mas	
1-44	227-228	o	
1-45	229-239	importante	
1-46	240-241	é	
1-47	242-251	controlar	
1-48	252-256	esse	
1-49	257-264	aumento	
1-50	265-269	para	
1-51	270-276	evitar	
1-52	277-279	os	
1-53	280-285	picos	
1-54	286-296	glicêmicos	
1-55	296-297	.	
1-56	298-304	Quando	
1-57	305-313	ingerido	
1-58	314-316	de	
1-59	317-324	maneira	
1-60	325-335	balanceada	
1-61	335-336	,	
1-62	337-341	grão	
1-63	342-344	de	
1-64	345-349	bico	
1-65	350-351	é	
1-66	352-355	uma	
1-67	356-359	boa	
1-68	360-365	opção	
1-69	365-366	,	
1-70	367-370	mas	
1-71	371-374	ter	
1-72	375-378	uma	
1-73	379-384	dieta	
1-74	385-396	equilibrada	
1-75	397-399	em	
1-76	400-410	nutrientes	
1-77	411-412	e	
1-78	413-421	calorias	
1-79	422-423	é	
1-80	424-433	essencial	
1-81	434-438	para	
1-82	439-440	o	
1-83	441-449	controle	
1-84	450-452	do	
1-85	453-461	diabetes	
1-86	461-462	.	
1-87	463-470	Procure	
1-88	471-473	um	
1-89	474-487	nutricionista	
1-90	488-489	(	
1-91	489-499	disponível	
1-92	500-513	gratuitamente	
1-93	514-516	no	
1-94	517-520	SUS	
1-95	520-521	)	
1-96	522-526	para	
1-97	527-533	montar	
1-98	534-536	um	
1-99	537-542	plano	
1-100	543-552	alimentar	
1-101	553-556	que	
1-102	557-561	seja	
1-103	562-567	ideal	
1-104	568-572	para	
1-105	573-577	você	
1-106	578-579	e	
1-107	580-584	suas	
1-108	585-597	necessidades	
1-109	597-598	.	
