#FORMAT=WebAnno TSV 3.2


#Text=Nenhum alimento é proibido quando as quantidades são calculadas para as suas necessidades! Alimentos fontes de carboidrato são essenciais, e consumi-los de maneira balanceada serão a chave para o tratamento do diabetes. Incorporar fontes de fibras, como aveia e frutas, e proteínas, como ovos e queijo, são boas estratégias para desacelerar a absorção do carboidrato que você consumir, o que diminui a necessidade de insulina que você precisar. Procure um nutricionista (disponível gratuitamente no SUS) para montar um plano alimentar que seja ideal para você e suas necessidades.
1-1	0-6	Nenhum	
1-2	7-15	alimento	
1-3	16-17	é	
1-4	18-26	proibido	
1-5	27-33	quando	
1-6	34-36	as	
1-7	37-48	quantidades	
1-8	49-52	são	
1-9	53-63	calculadas	
1-10	64-68	para	
1-11	69-71	as	
1-12	72-76	suas	
1-13	77-89	necessidades	
1-14	89-90	!	
1-15	91-100	Alimentos	
1-16	101-107	fontes	
1-17	108-110	de	
1-18	111-122	carboidrato	
1-19	123-126	são	
1-20	127-137	essenciais	
1-21	137-138	,	
1-22	139-140	e	
1-23	141-152	consumi-los	
1-24	153-155	de	
1-25	156-163	maneira	
1-26	164-174	balanceada	
1-27	175-180	serão	
1-28	181-182	a	
1-29	183-188	chave	
1-30	189-193	para	
1-31	194-195	o	
1-32	196-206	tratamento	
1-33	207-209	do	
1-34	210-218	diabetes	
1-35	218-219	.	
1-36	220-230	Incorporar	
1-37	231-237	fontes	
1-38	238-240	de	
1-39	241-247	fibras	
1-40	247-248	,	
1-41	249-253	como	
1-42	254-259	aveia	
1-43	260-261	e	
1-44	262-268	frutas	
1-45	268-269	,	
1-46	270-271	e	
1-47	272-281	proteínas	
1-48	281-282	,	
1-49	283-287	como	
1-50	288-292	ovos	
1-51	293-294	e	
1-52	295-301	queijo	
1-53	301-302	,	
1-54	303-306	são	
1-55	307-311	boas	
1-56	312-323	estratégias	
1-57	324-328	para	
1-58	329-340	desacelerar	
1-59	341-342	a	
1-60	343-351	absorção	
1-61	352-354	do	
1-62	355-366	carboidrato	
1-63	367-370	que	
1-64	371-375	você	
1-65	376-384	consumir	
1-66	384-385	,	
1-67	386-387	o	
1-68	388-391	que	
1-69	392-399	diminui	
1-70	400-401	a	
1-71	402-413	necessidade	
1-72	414-416	de	
1-73	417-425	insulina	
1-74	426-429	que	
1-75	430-434	você	
1-76	435-443	precisar	
1-77	443-444	.	
1-78	445-452	Procure	
1-79	453-455	um	
1-80	456-469	nutricionista	
1-81	470-471	(	
1-82	471-481	disponível	
1-83	482-495	gratuitamente	
1-84	496-498	no	
1-85	499-502	SUS	
1-86	502-503	)	
1-87	504-508	para	
1-88	509-515	montar	
1-89	516-518	um	
1-90	519-524	plano	
1-91	525-534	alimentar	
1-92	535-538	que	
1-93	539-543	seja	
1-94	544-549	ideal	
1-95	550-554	para	
1-96	555-559	você	
1-97	560-561	e	
1-98	562-566	suas	
1-99	567-579	necessidades	
1-100	579-580	.	
