#FORMAT=WebAnno TSV 3.2


#Text=A coca cola zero não aumenta a glicemia, pois é uma bebida isenta de carboidratos. No entanto, possui alto teor de sódio, o que aumenta a pressão arterial. Além disso, quando consumida de maneira constante, interfere na absorção de outros nutrientes. Busque sempre as opções menos processadas, como chás e sucos naturais de fruta, pois cuidar da saúde como um todo é importante não só para o controle do diabetes.
1-1	0-1	A	
1-2	2-6	coca	
1-3	7-11	cola	
1-4	12-16	zero	
1-5	17-20	não	
1-6	21-28	aumenta	
1-7	29-30	a	
1-8	31-39	glicemia	
1-9	39-40	,	
1-10	41-45	pois	
1-11	46-47	é	
1-12	48-51	uma	
1-13	52-58	bebida	
1-14	59-65	isenta	
1-15	66-68	de	
1-16	69-81	carboidratos	
1-17	81-82	.	
1-18	83-85	No	
1-19	86-93	entanto	
1-20	93-94	,	
1-21	95-101	possui	
1-22	102-106	alto	
1-23	107-111	teor	
1-24	112-114	de	
1-25	115-120	sódio	
1-26	120-121	,	
1-27	122-123	o	
1-28	124-127	que	
1-29	128-135	aumenta	
1-30	136-137	a	
1-31	138-145	pressão	
1-32	146-154	arterial	
1-33	154-155	.	
1-34	156-160	Além	
1-35	161-166	disso	
1-36	166-167	,	
1-37	168-174	quando	
1-38	175-184	consumida	
1-39	185-187	de	
1-40	188-195	maneira	
1-41	196-205	constante	
1-42	205-206	,	
1-43	207-216	interfere	
1-44	217-219	na	
1-45	220-228	absorção	
1-46	229-231	de	
1-47	232-238	outros	
1-48	239-249	nutrientes	
1-49	249-250	.	
1-50	251-257	Busque	
1-51	258-264	sempre	
1-52	265-267	as	
1-53	268-274	opções	
1-54	275-280	menos	
1-55	281-292	processadas	
1-56	292-293	,	
1-57	294-298	como	
1-58	299-303	chás	
1-59	304-305	e	
1-60	306-311	sucos	
1-61	312-320	naturais	
1-62	321-323	de	
1-63	324-329	fruta	
1-64	329-330	,	
1-65	331-335	pois	
1-66	336-342	cuidar	
1-67	343-345	da	
1-68	346-351	saúde	
1-69	352-356	como	
1-70	357-359	um	
1-71	360-364	todo	
1-72	365-366	é	
1-73	367-377	importante	
1-74	378-381	não	
1-75	382-384	só	
1-76	385-389	para	
1-77	390-391	o	
1-78	392-400	controle	
1-79	401-403	do	
1-80	404-412	diabetes	
1-81	412-413	.	
