#FORMAT=WebAnno TSV 3.2


#Text=Nenhum alimento é proibido quando as quantidades são calculadas para as suas necessidades! Ter uma dieta equilibrada em nutrientes e calorias é essencial para o controle do diabetes. Procure um nutricionista (disponível gratuitamente no SUS) para montar um plano alimentar que seja ideal para você e suas necessidades, e lembre-se de incluir o desejo de fazer sua refeição favorita, para que juntos, vocês decidam a melhor estratégia para que não precise passar vontade. Sentir prazer em se alimentar também faz parte de uma rotina saudável.
1-1	0-6	Nenhum	
1-2	7-15	alimento	
1-3	16-17	é	
1-4	18-26	proibido	
1-5	27-33	quando	
1-6	34-36	as	
1-7	37-48	quantidades	
1-8	49-52	são	
1-9	53-63	calculadas	
1-10	64-68	para	
1-11	69-71	as	
1-12	72-76	suas	
1-13	77-89	necessidades	
1-14	89-90	!	
1-15	91-94	Ter	
1-16	95-98	uma	
1-17	99-104	dieta	
1-18	105-116	equilibrada	
1-19	117-119	em	
1-20	120-130	nutrientes	
1-21	131-132	e	
1-22	133-141	calorias	
1-23	142-143	é	
1-24	144-153	essencial	
1-25	154-158	para	
1-26	159-160	o	
1-27	161-169	controle	
1-28	170-172	do	
1-29	173-181	diabetes	
1-30	181-182	.	
1-31	183-190	Procure	
1-32	191-193	um	
1-33	194-207	nutricionista	
1-34	208-209	(	
1-35	209-219	disponível	
1-36	220-233	gratuitamente	
1-37	234-236	no	
1-38	237-240	SUS	
1-39	240-241	)	
1-40	242-246	para	
1-41	247-253	montar	
1-42	254-256	um	
1-43	257-262	plano	
1-44	263-272	alimentar	
1-45	273-276	que	
1-46	277-281	seja	
1-47	282-287	ideal	
1-48	288-292	para	
1-49	293-297	você	
1-50	298-299	e	
1-51	300-304	suas	
1-52	305-317	necessidades	
1-53	317-318	,	
1-54	319-320	e	
1-55	321-330	lembre-se	
1-56	331-333	de	
1-57	334-341	incluir	
1-58	342-343	o	
1-59	344-350	desejo	
1-60	351-353	de	
1-61	354-359	fazer	
1-62	360-363	sua	
1-63	364-372	refeição	
1-64	373-381	favorita	
1-65	381-382	,	
1-66	383-387	para	
1-67	388-391	que	
1-68	392-398	juntos	
1-69	398-399	,	
1-70	400-405	vocês	
1-71	406-413	decidam	
1-72	414-415	a	
1-73	416-422	melhor	
1-74	423-433	estratégia	
1-75	434-438	para	
1-76	439-442	que	
1-77	443-446	não	
1-78	447-454	precise	
1-79	455-461	passar	
1-80	462-469	vontade	
1-81	469-470	.	
1-82	471-477	Sentir	
1-83	478-484	prazer	
1-84	485-487	em	
1-85	488-490	se	
1-86	491-500	alimentar	
1-87	501-507	também	
1-88	508-511	faz	
1-89	512-517	parte	
1-90	518-520	de	
1-91	521-524	uma	
1-92	525-531	rotina	
1-93	532-540	saudável	
1-94	540-541	.	
