#FORMAT=WebAnno TSV 3.2


#Text=O papel do profissional nutricionista é fundamental para o tratamento individualizado da diabetes. Para uma orientação mais específica o ideal é que você se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) pois ele poderá montar uma dieta ideal para as suas necessidades.
1-1	0-1	O	
1-2	2-7	papel	
1-3	8-10	do	
1-4	11-23	profissional	
1-5	24-37	nutricionista	
1-6	38-39	é	
1-7	40-51	fundamental	
1-8	52-56	para	
1-9	57-58	o	
1-10	59-69	tratamento	
1-11	70-85	individualizado	
1-12	86-88	da	
1-13	89-97	diabetes	
1-14	97-98	.	
1-15	99-103	Para	
1-16	104-107	uma	
1-17	108-118	orientação	
1-18	119-123	mais	
1-19	124-134	específica	
1-20	135-136	o	
1-21	137-142	ideal	
1-22	143-144	é	
1-23	145-148	que	
1-24	149-153	você	
1-25	154-156	se	
1-26	157-165	consulte	
1-27	166-169	com	
1-28	170-172	um	
1-29	173-186	nutricionista	
1-30	187-188	(	
1-31	188-191	que	
1-32	192-197	estão	
1-33	198-209	disponíveis	
1-34	210-223	gratuitamente	
1-35	224-226	no	
1-36	227-230	SUS	
1-37	230-231	)	
1-38	232-236	pois	
1-39	237-240	ele	
1-40	241-247	poderá	
1-41	248-254	montar	
1-42	255-258	uma	
1-43	259-264	dieta	
1-44	265-270	ideal	
1-45	271-275	para	
1-46	276-278	as	
1-47	279-283	suas	
1-48	284-296	necessidades	
1-49	296-297	.	
