#FORMAT=WebAnno TSV 3.2


#Text=A Pokan é uma fruta com uma maior quantidade de carboidratos, mas também é fonte de fibras e vitamina C. O seu consumo traz benefícios à saúde, mas ele deve ser moderado em quantidade e evitando sucos. Para uma orientação mais específica o ideal é que você se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) pois ele poderá montar uma dieta ideal para as suas necessidades.
1-1	0-1	A	
1-2	2-7	Pokan	
1-3	8-9	é	
1-4	10-13	uma	
1-5	14-19	fruta	
1-6	20-23	com	
1-7	24-27	uma	
1-8	28-33	maior	
1-9	34-44	quantidade	
1-10	45-47	de	
1-11	48-60	carboidratos	
1-12	60-61	,	
1-13	62-65	mas	
1-14	66-72	também	
1-15	73-74	é	
1-16	75-80	fonte	
1-17	81-83	de	
1-18	84-90	fibras	
1-19	91-92	e	
1-20	93-101	vitamina	
1-21	102-103	C	
1-22	103-104	.	
1-23	105-106	O	
1-24	107-110	seu	
1-25	111-118	consumo	
1-26	119-123	traz	
1-27	124-134	benefícios	
1-28	135-136	à	
1-29	137-142	saúde	
1-30	142-143	,	
1-31	144-147	mas	
1-32	148-151	ele	
1-33	152-156	deve	
1-34	157-160	ser	
1-35	161-169	moderado	
1-36	170-172	em	
1-37	173-183	quantidade	
1-38	184-185	e	
1-39	186-194	evitando	
1-40	195-200	sucos	
1-41	200-201	.	
1-42	202-206	Para	
1-43	207-210	uma	
1-44	211-221	orientação	
1-45	222-226	mais	
1-46	227-237	específica	
1-47	238-239	o	
1-48	240-245	ideal	
1-49	246-247	é	
1-50	248-251	que	
1-51	252-256	você	
1-52	257-259	se	
1-53	260-268	consulte	
1-54	269-272	com	
1-55	273-275	um	
1-56	276-289	nutricionista	
1-57	290-291	(	
1-58	291-294	que	
1-59	295-300	estão	
1-60	301-312	disponíveis	
1-61	313-326	gratuitamente	
1-62	327-329	no	
1-63	330-333	SUS	
1-64	333-334	)	
1-65	335-339	pois	
1-66	340-343	ele	
1-67	344-350	poderá	
1-68	351-357	montar	
1-69	358-361	uma	
1-70	362-367	dieta	
1-71	368-373	ideal	
1-72	374-378	para	
1-73	379-381	as	
1-74	382-386	suas	
1-75	387-399	necessidades	
1-76	399-400	.	
