#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Substituir o açúcar por adoçantes é uma estratégia benéfica, uma vez que eles não elevam a glicemia, sucralose, stévia e xilitol são boas opções. Para uma orientação mais específica o ideal é que você se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) pois ele poderá montar uma dieta ideal para as suas necessidades.
1-1	0-10	Substituir	_	_	_	
1-2	11-12	o	_	_	_	
1-3	13-19	açúcar	Food	_	_	
1-4	20-23	por	_	_	_	
1-5	24-33	adoçantes	Food	_	_	
1-6	34-35	é	_	_	_	
1-7	36-39	uma	_	_	_	
1-8	40-50	estratégia	_	_	_	
1-9	51-59	benéfica	_	_	_	
1-10	59-60	,	_	_	_	
1-11	61-64	uma	_	_	_	
1-12	65-68	vez	_	_	_	
1-13	69-72	que	_	_	_	
1-14	73-77	eles	_	_	_	
1-15	78-81	não	GlucoseValue[1]	has	1-5[0_1]	
1-16	82-88	elevam	GlucoseValue[1]	_	_	
1-17	89-90	a	GlucoseValue[1]	_	_	
1-18	91-99	glicemia	GlucoseValue[1]	_	_	
1-19	99-100	,	_	_	_	
1-20	101-110	sucralose	Food	_	_	
1-21	110-111	,	_	_	_	
1-22	112-118	stévia	Food	_	_	
1-23	119-120	e	_	_	_	
1-24	121-128	xilitol	Food	_	_	
1-25	129-132	são	_	_	_	
1-26	133-137	boas	_	_	_	
1-27	138-144	opções	_	_	_	
1-28	144-145	.	_	_	_	
1-29	146-150	Para	_	_	_	
1-30	151-154	uma	_	_	_	
1-31	155-165	orientação	_	_	_	
1-32	166-170	mais	_	_	_	
1-33	171-181	específica	_	_	_	
1-34	182-183	o	_	_	_	
1-35	184-189	ideal	_	_	_	
1-36	190-191	é	_	_	_	
1-37	192-195	que	_	_	_	
1-38	196-200	você	_	_	_	
1-39	201-203	se	_	_	_	
1-40	204-212	consulte	_	_	_	
1-41	213-216	com	_	_	_	
1-42	217-219	um	_	_	_	
1-43	220-233	nutricionista	_	_	_	
1-44	234-235	(	_	_	_	
1-45	235-238	que	_	_	_	
1-46	239-244	estão	_	_	_	
1-47	245-256	disponíveis	_	_	_	
1-48	257-270	gratuitamente	_	_	_	
1-49	271-273	no	_	_	_	
1-50	274-277	SUS	_	_	_	
1-51	277-278	)	_	_	_	
1-52	279-283	pois	_	_	_	
1-53	284-287	ele	_	_	_	
1-54	288-294	poderá	_	_	_	
1-55	295-301	montar	_	_	_	
1-56	302-305	uma	_	_	_	
1-57	306-311	dieta	_	_	_	
1-58	312-317	ideal	_	_	_	
1-59	318-322	para	_	_	_	
1-60	323-325	as	_	_	_	
1-61	326-330	suas	_	_	_	
1-62	331-343	necessidades	_	_	_	
1-63	343-344	.	_	_	_	
