#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=Não é necessária a substituição do arroz, ele pode ser consumido. Não há nenhuma restrição de alimentos para os diabéticos, o importante é se atentar a quantidade (principalmente de carboidratos/açúcares) a ser consumida e a adotar de uma padrão alimentar saudável. Para uma orientação mais específica o ideal é que você se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) pois ele poderá montar uma dieta ideal para as suas necessidades.
1-1	0-3	Não	_	
1-2	4-5	é	_	
1-3	6-16	necessária	_	
1-4	17-18	a	_	
1-5	19-31	substituição	_	
1-6	32-34	do	_	
1-7	35-40	arroz	Food	
1-8	40-41	,	_	
1-9	42-45	ele	_	
1-10	46-50	pode	_	
1-11	51-54	ser	_	
1-12	55-64	consumido	_	
1-13	64-65	.	_	
1-14	66-69	Não	_	
1-15	70-72	há	_	
1-16	73-80	nenhuma	_	
1-17	81-90	restrição	_	
1-18	91-93	de	_	
1-19	94-103	alimentos	_	
1-20	104-108	para	_	
1-21	109-111	os	_	
1-22	112-122	diabéticos	_	
1-23	122-123	,	_	
1-24	124-125	o	_	
1-25	126-136	importante	_	
1-26	137-138	é	_	
1-27	139-141	se	_	
1-28	142-149	atentar	_	
1-29	150-151	a	_	
1-30	152-162	quantidade	_	
1-31	163-164	(	_	
1-32	164-178	principalmente	_	
1-33	179-181	de	_	
1-34	182-194	carboidratos	Food	
1-35	194-195	/	_	
1-36	195-203	açúcares	Food	
1-37	203-204	)	_	
1-38	205-206	a	_	
1-39	207-210	ser	_	
1-40	211-220	consumida	_	
1-41	221-222	e	_	
1-42	223-224	a	_	
1-43	225-231	adotar	_	
1-44	232-234	de	_	
1-45	235-238	uma	_	
1-46	239-245	padrão	_	
1-47	246-255	alimentar	_	
1-48	256-264	saudável	_	
1-49	264-265	.	_	
1-50	266-270	Para	_	
1-51	271-274	uma	_	
1-52	275-285	orientação	_	
1-53	286-290	mais	_	
1-54	291-301	específica	_	
1-55	302-303	o	_	
1-56	304-309	ideal	_	
1-57	310-311	é	_	
1-58	312-315	que	_	
1-59	316-320	você	_	
1-60	321-323	se	_	
1-61	324-332	consulte	_	
1-62	333-336	com	_	
1-63	337-339	um	_	
1-64	340-353	nutricionista	_	
1-65	354-355	(	_	
1-66	355-358	que	_	
1-67	359-364	estão	_	
1-68	365-376	disponíveis	_	
1-69	377-390	gratuitamente	_	
1-70	391-393	no	_	
1-71	394-397	SUS	_	
1-72	397-398	)	_	
1-73	399-403	pois	_	
1-74	404-407	ele	_	
1-75	408-414	poderá	_	
1-76	415-421	montar	_	
1-77	422-425	uma	_	
1-78	426-431	dieta	_	
1-79	432-437	ideal	_	
1-80	438-442	para	_	
1-81	443-445	as	_	
1-82	446-450	suas	_	
1-83	451-463	necessidades	_	
1-84	463-464	.	_	
