#FORMAT=WebAnno TSV 3.2


#Text=Não. O tratamento do diabetes é feito a partir de um diagnóstico médico, com utilização de medicamentos e com a mudança de hábitos de vida, com auxílio de um nutricionista e outros profissionais de saúde. Não existe nenhum alimento com a capacidade de abaixar o curar o diabetes. Para uma orientação mais específica o ideal é que você se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) pois ele poderá montar uma dieta ideal para as suas necessidades.
1-1	0-3	Não	
1-2	3-4	.	
1-3	5-6	O	
1-4	7-17	tratamento	
1-5	18-20	do	
1-6	21-29	diabetes	
1-7	30-31	é	
1-8	32-37	feito	
1-9	38-39	a	
1-10	40-46	partir	
1-11	47-49	de	
1-12	50-52	um	
1-13	53-64	diagnóstico	
1-14	65-71	médico	
1-15	71-72	,	
1-16	73-76	com	
1-17	77-87	utilização	
1-18	88-90	de	
1-19	91-103	medicamentos	
1-20	104-105	e	
1-21	106-109	com	
1-22	110-111	a	
1-23	112-119	mudança	
1-24	120-122	de	
1-25	123-130	hábitos	
1-26	131-133	de	
1-27	134-138	vida	
1-28	138-139	,	
1-29	140-143	com	
1-30	144-151	auxílio	
1-31	152-154	de	
1-32	155-157	um	
1-33	158-171	nutricionista	
1-34	172-173	e	
1-35	174-180	outros	
1-36	181-194	profissionais	
1-37	195-197	de	
1-38	198-203	saúde	
1-39	203-204	.	
1-40	205-208	Não	
1-41	209-215	existe	
1-42	216-222	nenhum	
1-43	223-231	alimento	
1-44	232-235	com	
1-45	236-237	a	
1-46	238-248	capacidade	
1-47	249-251	de	
1-48	252-259	abaixar	
1-49	260-261	o	
1-50	262-267	curar	
1-51	268-269	o	
1-52	270-278	diabetes	
1-53	278-279	.	
1-54	280-284	Para	
1-55	285-288	uma	
1-56	289-299	orientação	
1-57	300-304	mais	
1-58	305-315	específica	
1-59	316-317	o	
1-60	318-323	ideal	
1-61	324-325	é	
1-62	326-329	que	
1-63	330-334	você	
1-64	335-337	se	
1-65	338-346	consulte	
1-66	347-350	com	
1-67	351-353	um	
1-68	354-367	nutricionista	
1-69	368-369	(	
1-70	369-372	que	
1-71	373-378	estão	
1-72	379-390	disponíveis	
1-73	391-404	gratuitamente	
1-74	405-407	no	
1-75	408-411	SUS	
1-76	411-412	)	
1-77	413-417	pois	
1-78	418-421	ele	
1-79	422-428	poderá	
1-80	429-435	montar	
1-81	436-439	uma	
1-82	440-445	dieta	
1-83	446-451	ideal	
1-84	452-456	para	
1-85	457-459	as	
1-86	460-464	suas	
1-87	465-477	necessidades	
1-88	477-478	.	
