#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=O tamarindo é composto principalmente de carboidratos, por isso, o seu consumo deve ser moderado. Além disso, evite sucos e vitaminas e caso consuma esse tipo de preparação, opte por fazer isso junto das refeições para diminuir o índice glicêmico. Para uma orientação mais específica o ideal é que você se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) pois ele poderá montar uma dieta ideal para as suas necessidades.
1-1	0-1	O	_	_	_	
1-2	2-11	tamarindo	Food	_	_	
1-3	12-13	é	_	_	_	
1-4	14-22	composto	_	_	_	
1-5	23-37	principalmente	_	_	_	
1-6	38-40	de	_	_	_	
1-7	41-53	carboidratos	_	_	_	
1-8	53-54	,	_	_	_	
1-9	55-58	por	_	_	_	
1-10	59-63	isso	_	_	_	
1-11	63-64	,	_	_	_	
1-12	65-66	o	_	_	_	
1-13	67-70	seu	_	_	_	
1-14	71-78	consumo	_	_	_	
1-15	79-83	deve	_	_	_	
1-16	84-87	ser	_	_	_	
1-17	88-96	moderado	_	_	_	
1-18	96-97	.	_	_	_	
1-19	98-102	Além	_	_	_	
1-20	103-108	disso	_	_	_	
1-21	108-109	,	_	_	_	
1-22	110-115	evite	_	_	_	
1-23	116-121	sucos	Food	_	_	
1-24	122-123	e	_	_	_	
1-25	124-133	vitaminas	Food	_	_	
1-26	134-135	e	_	_	_	
1-27	136-140	caso	_	_	_	
1-28	141-148	consuma	_	_	_	
1-29	149-153	esse	_	_	_	
1-30	154-158	tipo	_	_	_	
1-31	159-161	de	_	_	_	
1-32	162-172	preparação	_	_	_	
1-33	172-173	,	_	_	_	
1-34	174-178	opte	_	_	_	
1-35	179-182	por	_	_	_	
1-36	183-188	fazer	_	_	_	
1-37	189-193	isso	_	_	_	
1-38	194-199	junto	Time[1]	has|has	1-25[0_1]|1-23[0_1]	
1-39	200-203	das	Time[1]	_	_	
1-40	204-213	refeições	Time[1]	_	_	
1-41	214-218	para	_	_	_	
1-42	219-227	diminuir	_	_	_	
1-43	228-229	o	_	_	_	
1-44	230-236	índice	_	_	_	
1-45	237-246	glicêmico	_	_	_	
1-46	246-247	.	_	_	_	
1-47	248-252	Para	_	_	_	
1-48	253-256	uma	_	_	_	
1-49	257-267	orientação	_	_	_	
1-50	268-272	mais	_	_	_	
1-51	273-283	específica	_	_	_	
1-52	284-285	o	_	_	_	
1-53	286-291	ideal	_	_	_	
1-54	292-293	é	_	_	_	
1-55	294-297	que	_	_	_	
1-56	298-302	você	_	_	_	
1-57	303-305	se	NonMedicalTreatment[2]	_	_	
1-58	306-314	consulte	NonMedicalTreatment[2]	_	_	
1-59	315-318	com	NonMedicalTreatment[2]	_	_	
1-60	319-321	um	NonMedicalTreatment[2]	_	_	
1-61	322-335	nutricionista	NonMedicalTreatment[2]	_	_	
1-62	336-337	(	_	_	_	
1-63	337-340	que	_	_	_	
1-64	341-346	estão	_	_	_	
1-65	347-358	disponíveis	_	_	_	
1-66	359-372	gratuitamente	_	_	_	
1-67	373-375	no	_	_	_	
1-68	376-379	SUS	_	_	_	
1-69	379-380	)	_	_	_	
1-70	381-385	pois	_	_	_	
1-71	386-389	ele	_	_	_	
1-72	390-396	poderá	_	_	_	
1-73	397-403	montar	_	_	_	
1-74	404-407	uma	_	_	_	
1-75	408-413	dieta	_	_	_	
1-76	414-419	ideal	_	_	_	
1-77	420-424	para	_	_	_	
1-78	425-427	as	_	_	_	
1-79	428-432	suas	_	_	_	
1-80	433-445	necessidades	_	_	_	
1-81	445-446	.	_	_	_	
