#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=As carnes não são fontes de carboidratos, porém, o seu consumo não deve ser elevado uma vez que uma grande quantidade pode aumentar a liberação de insulina. Sendo assim, o consumo deve ser moderado. Para uma orientação mais específica o ideal é que você se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) pois ele poderá montar uma dieta ideal para as suas necessidades.
1-1	0-2	As	_	
1-2	3-9	carnes	Food	
1-3	10-13	não	_	
1-4	14-17	são	_	
1-5	18-24	fontes	_	
1-6	25-27	de	_	
1-7	28-40	carboidratos	_	
1-8	40-41	,	_	
1-9	42-47	porém	_	
1-10	47-48	,	_	
1-11	49-50	o	_	
1-12	51-54	seu	_	
1-13	55-62	consumo	_	
1-14	63-66	não	_	
1-15	67-71	deve	_	
1-16	72-75	ser	_	
1-17	76-83	elevado	_	
1-18	84-87	uma	_	
1-19	88-91	vez	_	
1-20	92-95	que	_	
1-21	96-99	uma	_	
1-22	100-106	grande	_	
1-23	107-117	quantidade	_	
1-24	118-122	pode	_	
1-25	123-131	aumentar	Complication[1]	
1-26	132-133	a	Complication[1]	
1-27	134-143	liberação	Complication[1]	
1-28	144-146	de	Complication[1]	
1-29	147-155	insulina	Complication[1]	
1-30	155-156	.	_	
1-31	157-162	Sendo	_	
1-32	163-168	assim	_	
1-33	168-169	,	_	
1-34	170-171	o	_	
1-35	172-179	consumo	_	
1-36	180-184	deve	_	
1-37	185-188	ser	_	
1-38	189-197	moderado	_	
1-39	197-198	.	_	
1-40	199-203	Para	_	
1-41	204-207	uma	_	
1-42	208-218	orientação	_	
1-43	219-223	mais	_	
1-44	224-234	específica	_	
1-45	235-236	o	_	
1-46	237-242	ideal	_	
1-47	243-244	é	_	
1-48	245-248	que	_	
1-49	249-253	você	_	
1-50	254-256	se	NonMedicalTreatment[2]	
1-51	257-265	consulte	NonMedicalTreatment[2]	
1-52	266-269	com	NonMedicalTreatment[2]	
1-53	270-272	um	NonMedicalTreatment[2]	
1-54	273-286	nutricionista	NonMedicalTreatment[2]	
1-55	287-288	(	_	
1-56	288-291	que	_	
1-57	292-297	estão	_	
1-58	298-309	disponíveis	_	
1-59	310-323	gratuitamente	_	
1-60	324-326	no	_	
1-61	327-330	SUS	_	
1-62	330-331	)	_	
1-63	332-336	pois	_	
1-64	337-340	ele	_	
1-65	341-347	poderá	_	
1-66	348-354	montar	_	
1-67	355-358	uma	_	
1-68	359-364	dieta	_	
1-69	365-370	ideal	_	
1-70	371-375	para	_	
1-71	376-378	as	_	
1-72	379-383	suas	_	
1-73	384-396	necessidades	_	
1-74	396-397	.	_	
