#FORMAT=WebAnno TSV 3.2


#Text=Os alimentos a base de milho, como o cuscuz, podem ser consumidos. O milho é um cereal, então possui carboidratos, mas ele in natura também tem fibras, o que reduz o seu índice glicêmico. Para as preparações, opte por escolher acompanhamentos fontes de proteínas (ovos, queijos, pasta de amendoim), fibras (folhosos, sementes e farelos) e gorduras boas (azeite, abacate, coco, castanhas, queijos). Para uma orientação mais específica o ideal é que você se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) pois ele poderá montar uma dieta ideal para as suas necessidades.
1-1	0-2	Os	
1-2	3-12	alimentos	
1-3	13-14	a	
1-4	15-19	base	
1-5	20-22	de	
1-6	23-28	milho	
1-7	28-29	,	
1-8	30-34	como	
1-9	35-36	o	
1-10	37-43	cuscuz	
1-11	43-44	,	
1-12	45-50	podem	
1-13	51-54	ser	
1-14	55-65	consumidos	
1-15	65-66	.	
1-16	67-68	O	
1-17	69-74	milho	
1-18	75-76	é	
1-19	77-79	um	
1-20	80-86	cereal	
1-21	86-87	,	
1-22	88-93	então	
1-23	94-100	possui	
1-24	101-113	carboidratos	
1-25	113-114	,	
1-26	115-118	mas	
1-27	119-122	ele	
1-28	123-125	in	
1-29	126-132	natura	
1-30	133-139	também	
1-31	140-143	tem	
1-32	144-150	fibras	
1-33	150-151	,	
1-34	152-153	o	
1-35	154-157	que	
1-36	158-163	reduz	
1-37	164-165	o	
1-38	166-169	seu	
1-39	170-176	índice	
1-40	177-186	glicêmico	
1-41	186-187	.	
1-42	188-192	Para	
1-43	193-195	as	
1-44	196-207	preparações	
1-45	207-208	,	
1-46	209-213	opte	
1-47	214-217	por	
1-48	218-226	escolher	
1-49	227-242	acompanhamentos	
1-50	243-249	fontes	
1-51	250-252	de	
1-52	253-262	proteínas	
1-53	263-264	(	
1-54	264-268	ovos	
1-55	268-269	,	
1-56	270-277	queijos	
1-57	277-278	,	
1-58	279-284	pasta	
1-59	285-287	de	
1-60	288-296	amendoim	
1-61	296-297	)	
1-62	297-298	,	
1-63	299-305	fibras	
1-64	306-307	(	
1-65	307-315	folhosos	
1-66	315-316	,	
1-67	317-325	sementes	
1-68	326-327	e	
1-69	328-335	farelos	
1-70	335-336	)	
1-71	337-338	e	
1-72	339-347	gorduras	
1-73	348-352	boas	
1-74	353-354	(	
1-75	354-360	azeite	
1-76	360-361	,	
1-77	362-369	abacate	
1-78	369-370	,	
1-79	371-375	coco	
1-80	375-376	,	
1-81	377-386	castanhas	
1-82	386-387	,	
1-83	388-395	queijos	
1-84	395-396	)	
1-85	396-397	.	
1-86	398-402	Para	
1-87	403-406	uma	
1-88	407-417	orientação	
1-89	418-422	mais	
1-90	423-433	específica	
1-91	434-435	o	
1-92	436-441	ideal	
1-93	442-443	é	
1-94	444-447	que	
1-95	448-452	você	
1-96	453-455	se	
1-97	456-464	consulte	
1-98	465-468	com	
1-99	469-471	um	
1-100	472-485	nutricionista	
1-101	486-487	(	
1-102	487-490	que	
1-103	491-496	estão	
1-104	497-508	disponíveis	
1-105	509-522	gratuitamente	
1-106	523-525	no	
1-107	526-529	SUS	
1-108	529-530	)	
1-109	531-535	pois	
1-110	536-539	ele	
1-111	540-546	poderá	
1-112	547-553	montar	
1-113	554-557	uma	
1-114	558-563	dieta	
1-115	564-569	ideal	
1-116	570-574	para	
1-117	575-577	as	
1-118	578-582	suas	
1-119	583-595	necessidades	
1-120	595-596	.	
