#FORMAT=WebAnno TSV 3.2


#Text=Não há como saber o que pode ter causado o desconforto. Com auxílio de um nutricionista ou médico, faça uma avaliação se você possui alguma alergia ou intolerância alimentar. Para uma orientação mais específica o ideal é que você se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) pois ele poderá montar uma dieta ideal para as suas necessidades.
1-1	0-3	Não	
1-2	4-6	há	
1-3	7-11	como	
1-4	12-17	saber	
1-5	18-19	o	
1-6	20-23	que	
1-7	24-28	pode	
1-8	29-32	ter	
1-9	33-40	causado	
1-10	41-42	o	
1-11	43-54	desconforto	
1-12	54-55	.	
1-13	56-59	Com	
1-14	60-67	auxílio	
1-15	68-70	de	
1-16	71-73	um	
1-17	74-87	nutricionista	
1-18	88-90	ou	
1-19	91-97	médico	
1-20	97-98	,	
1-21	99-103	faça	
1-22	104-107	uma	
1-23	108-117	avaliação	
1-24	118-120	se	
1-25	121-125	você	
1-26	126-132	possui	
1-27	133-139	alguma	
1-28	140-147	alergia	
1-29	148-150	ou	
1-30	151-163	intolerância	
1-31	164-173	alimentar	
1-32	173-174	.	
1-33	175-179	Para	
1-34	180-183	uma	
1-35	184-194	orientação	
1-36	195-199	mais	
1-37	200-210	específica	
1-38	211-212	o	
1-39	213-218	ideal	
1-40	219-220	é	
1-41	221-224	que	
1-42	225-229	você	
1-43	230-232	se	
1-44	233-241	consulte	
1-45	242-245	com	
1-46	246-248	um	
1-47	249-262	nutricionista	
1-48	263-264	(	
1-49	264-267	que	
1-50	268-273	estão	
1-51	274-285	disponíveis	
1-52	286-299	gratuitamente	
1-53	300-302	no	
1-54	303-306	SUS	
1-55	306-307	)	
1-56	308-312	pois	
1-57	313-316	ele	
1-58	317-323	poderá	
1-59	324-330	montar	
1-60	331-334	uma	
1-61	335-340	dieta	
1-62	341-346	ideal	
1-63	347-351	para	
1-64	352-354	as	
1-65	355-359	suas	
1-66	360-372	necessidades	
1-67	372-373	.	
