#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=Você pode fazer o omelete sem a farinha, mas pode utilizar farelo de aveia, sementes como chia e linhaça, além de incluir algum legume como abobrinha ralada. Para uma orientação mais específica o ideal é que você se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) pois ele poderá montar uma dieta ideal para as suas necessidades.
1-1	0-4	Você	_	
1-2	5-9	pode	_	
1-3	10-15	fazer	_	
1-4	16-17	o	_	
1-5	18-25	omelete	Food	
1-6	26-29	sem	_	
1-7	30-31	a	_	
1-8	32-39	farinha	Food	
1-9	39-40	,	_	
1-10	41-44	mas	_	
1-11	45-49	pode	_	
1-12	50-58	utilizar	_	
1-13	59-65	farelo	Food[1]	
1-14	66-68	de	Food[1]	
1-15	69-74	aveia	Food[1]	
1-16	74-75	,	_	
1-17	76-84	sementes	Food	
1-18	85-89	como	_	
1-19	90-94	chia	Food	
1-20	95-96	e	_	
1-21	97-104	linhaça	Food	
1-22	104-105	,	_	
1-23	106-110	além	_	
1-24	111-113	de	_	
1-25	114-121	incluir	_	
1-26	122-127	algum	_	
1-27	128-134	legume	Food	
1-28	135-139	como	_	
1-29	140-149	abobrinha	Food[2]	
1-30	150-156	ralada	Food[2]	
1-31	156-157	.	_	
1-32	158-162	Para	_	
1-33	163-166	uma	_	
1-34	167-177	orientação	_	
1-35	178-182	mais	_	
1-36	183-193	específica	_	
1-37	194-195	o	_	
1-38	196-201	ideal	_	
1-39	202-203	é	_	
1-40	204-207	que	_	
1-41	208-212	você	_	
1-42	213-215	se	_	
1-43	216-224	consulte	_	
1-44	225-228	com	_	
1-45	229-231	um	_	
1-46	232-245	nutricionista	_	
1-47	246-247	(	_	
1-48	247-250	que	_	
1-49	251-256	estão	_	
1-50	257-268	disponíveis	_	
1-51	269-282	gratuitamente	_	
1-52	283-285	no	_	
1-53	286-289	SUS	_	
1-54	289-290	)	_	
1-55	291-295	pois	_	
1-56	296-299	ele	_	
1-57	300-306	poderá	_	
1-58	307-313	montar	_	
1-59	314-317	uma	_	
1-60	318-323	dieta	NonMedicalTreatment[3]	
1-61	324-329	ideal	NonMedicalTreatment[3]	
1-62	330-334	para	_	
1-63	335-337	as	_	
1-64	338-342	suas	_	
1-65	343-355	necessidades	_	
1-66	355-356	.	_	
