Questão,Resposta,Resposta para anotação,Resposta oficial (medicina)
O jejum intermitente pode ser utilizado tanto no diabetes tipo 1 quanto no tipo 2?,"Considerando-se que o sobrepeso é um grande fator de risco para o aparecimento do diabetes tipo 2, o jejum intermitente pode ser empregado como uma medida de prevenção. Ele também pode ser utilizado por pacientes recém diagnosticados (as) com o diabetes tipo 1, caso seja necessário perder peso para estabilizar o seu quadro de saúde (nesse caso deve haver o acompanhamento por profissionais de endocrinologia e nutrição).","Estar acima do peso pode fazer com que apareça o diabetes tipo 2. Por isso, o jejum intermitente pode ser uma forma de prevenir o diabetes tipo 2.  O jejum intermitente também pode ser utilizado como tratamento para pessoas recém diagnosticadas com o diabetes tipo 1, que precisam perder peso para estabilizar o seu quadro de saúde; essas pessoas devem ser acompanhadas por um endocrinologista e um nutricionista.","Estar acima do peso pode contribuir com o desenvolvimento do diabetes tipo 2. Por isso, o jejum intermitente pode ser uma forma de prevenir o diabetes tipo 2.  O jejum intermitente também pode ser utilizado como tratamento para pessoas recém diagnosticadas com o diabetes tipo 1, que precisam perder peso para estabilizar o seu quadro de saúde; essas pessoas devem ser acompanhadas por um endocrinologista e um nutricionista."
O jejum intermitente pode ser utilizado tanto no diabetes tipo 1 quanto no tipo 2?,"Considerando-se que o sobrepeso é um grande fator de risco para o diabetes tipo 2, dietas low carb e o jejum intermitente podem ser empregados como uma medida de prevenção. Lembrando que não é recomendado que se faça dietas radicais sem o auxílio de um profissional da nutrição. Esses profissionais estão disponíveis gratuitamente para consultas pelo SUS, se você tiver interesse, procure a sua Unidade Básica de Saúde de referência para obter um encaminhamento.","Estar acima do peso pode fazer com que apareça o diabetes tipo 2. Por isso, o jejum intermitente e dietas low-carb podem ser uma forma de prevenir o diabetes tipo 2.  É bom lembrar que não é recomendado fazer dietas radicais sem o auxílio de um nutricionista. A consulta com um nutricionista pode ser feita gratuitamente pelo SUS. Se você tiver interesse, procure a sua Unidade Básica de Saúde.","Estar acima do peso pode contribuir com o desenvolvimento do diabetes tipo 2. Por isso, o jejum intermitente e dietas low-carb podem ser formas de prevenir o diabetes tipo 2. É bom lembrar que não é recomendado fazer dietas radicais sem o auxílio de um nutricionista. A consulta com um nutricionista pode ser feita gratuitamente pelo SUS. Se você tiver interesse, procure a sua Unidade Básica de Saúde."
Estou fazendo uma dieta low carb e minha glicemia continua alta. Ela não deveria ter abaixado?,"Lembre-se que reduzir muito as calorias não é uma perda de gordura eficaz. Provavelmente servirá mais para alterar seu metabolismo do que para fornecer resultados duradouros. Uma meta de glicemia seria ter menos de 100 em jejum. Sugiro que você obtenha algumas orientações com um plano de alimentação saudável, seja ativo e atinja a perda de gordura corporal a longo prazo em um ritmo gradual, como forma de atingir efetivamente seus objetivos.","Lembre que reduzir muito as calorias não é uma forma eficaz de perder gordura. Provavelmente vai servir mais para mudar seu metabolismo do que para conseguir resultados duradouros. Uma meta de glicemia seria ter menos de 100 em jejum. Sugiro que você procure orientações para ter um plano de alimentação saudável, seja ativo e que você perca gordura corporal a longo prazo em um ritmo gradual, para que você consiga resultados efetivos.","Lembre que reduzir muito as calorias não é uma forma eficaz de perder gordura. Provavelmente vai servir mais para mudar o funcionamento do seu metabolismo do que para conseguir resultados duradouros. Uma meta de glicemia seria ter menos de 100 em jejum. Sugiro que você procure orientações para ter um plano de alimentação saudável, seja ativo e que você perca gordura corporal a longo prazo em um ritmo gradual, para que você consiga resultados efetivos."
Diabético pode fazer jejum intermitente?,"Quem tem diabetes tem que ter uma dieta balanceada, se puder seguir uma dieta feita por um nutricionista, melhor ainda! Lembrando que não é recomendado que se faça dietas radicais sem o auxílio de um profissional da nutrição. Esses profissionais estão disponíveis gratuitamente para consultas pelo SUS, se você tiver interesse, procure a sua Unidade Básica de Saúde de referência para obter um encaminhamento. Uma vida saudável pode ser alcançada e é muito prazerosa!","Quem tem diabetes tem que ter uma dieta balanceada. Se puder seguir uma dieta feita por um nutricionista, melhor ainda! É bom lembrar que não é recomendado fazer dietas radicais sem ajuda profissional. A consulta com um nutricionista é gratuita pelo SUS. Se você tiver interesse, procure a Unidade Básica de Saúde. A vida pode ser saudável e muito prazerosa também!","Quem tem diabetes tem que ter uma dieta balanceada. Se puder seguir uma dieta feita por um nutricionista, melhor ainda! É bom lembrar que não é recomendado fazer dietas radicais sem ajuda profissional. A consulta com um nutricionista é gratuita pelo SUS. Se você tiver interesse, procure a Unidade Básica de Saúde. A vida pode ser saudável e muito prazerosa também!"
"Oi, meu sobrinho tem tipo 1, queria saber mais sobre bomba de insulina.","A bomba de infusão de insulina é o melhor tratamento existente hoje para o controle do diabetes tipo 1. Esse aparelho fica grudado na pele e possui um sensor que monitora a quantidade de açúcar no sangue durante o dia todo. A bomba de infusão de insulina libera continuamente doses de insulina para ajustar a quantidade de açúcar no sangue durante os períodos de jejum. Ele também possui bombas pontuais para ajustar a quantidade de açúcar no sangue nos momentos em que há a ingestão de alimento. O maior problema desse tipo de tratamento é que ele é muito caro, e isso o torna inviável para a maior parte das pessoas, já que ele não está disponível pelo SUS.","A bomba de infusão de insulina é o melhor tratamento existente hoje para o controle do diabetes tipo 1. Esse aparelho fica grudado na pele e possui um sensor que monitora a quantidade de açúcar no sangue durante o dia todo. A bomba de infusão de insulina libera continuamente doses de insulina para ajustar a quantidade de açúcar no sangue durante os períodos de jejum. A bomba de infusão de insulina  também ajusta a quantidade de açúcar no sangue nos momentos em que a pessoa ingere algum alimento. O maior problema desse aparelho é que ele é caro para a maior parte das pessoas, já que ele não está disponível pelo SUS.","A bomba de infusão de insulina é o melhor tratamento existente hoje para o controle do diabetes tipo 1. Esse aparelho fica grudado na pele e possui um sensor que monitora a quantidade de açúcar no sangue durante o dia todo. A bomba de infusão de insulina libera continuamente doses de insulina para ajustar a quantidade de açúcar no sangue durante os períodos de jejum. A bomba de infusão de insulina  também ajusta a quantidade de açúcar no sangue nos momentos em que a pessoa ingere algum alimento. O maior problema desse aparelho é que ele é caro para a maior parte das pessoas, já que ele não está disponível pelo SUS."
"Oi, meu sobrinho tem tipo 1, queria saber mais sobre bomba de insulina.","A bomba de infusão de insulina é o melhor tratamento existente hoje para o controle do diabetes tipo 1. Esse aparelho fica grudado na pele e possui um sensor que monitora a quantidade de açúcar no sangue durante o dia todo. A bomba de infusão de insulina libera continuamente doses de insulina para ajustar a quantidade de açúcar no sangue durante os períodos de jejum. Ele também possui bombas pontuais para ajustar a quantidade de açúcar no sangue nos momentos em que há a ingestão de alimento. Esse aparelho costuma promover um controle melhor da glicemia, evitando que ela fique muito alta ou muito baixa. Porém, mesmo as pessoas com diabetes que usam a bomba de infusão de insulina devem seguir uma dieta pensada por um nutricionista, pois apesar de diminuir as chances da pessoa ter hipo ou hiperglicemia, ela não é tão efetiva a ponto de conseguir compensar picos muito altos ou muito baixos.","A bomba de infusão de insulina é o melhor tratamento existente hoje para o controle do diabetes tipo 1. Esse aparelho fica grudado na pele e possui um sensor que monitora a quantidade de açúcar no sangue durante o dia todo. A bomba de infusão de insulina libera continuamente doses de insulina para ajustar a quantidade de açúcar no sangue durante os períodos de jejum. A bomba de infusão de insulina  também ajusta a quantidade de açúcar no sangue nos momentos em que a pessoa ingere algum alimento. O maior problema desse aparelho é que ele é  caro para a maior parte das pessoas, já que ele não está disponível pelo SUS. Esse aparelho costuma ajudar a controlar melhor a glicemia, evitando que ela fique muito alta ou muito baixa. Mas mesmo as pessoas com diabetes que usam a bomba de infusão de insulina devem seguir uma dieta pensada por um nutricionista. A bomba diminui as chances de a pessoa ter hipo ou hiperglicemia, mas não é tão efetiva para compensar picos muito altos ou muito baixos.","A bomba de infusão de insulina é o melhor tratamento existente hoje para o controle do diabetes tipo 1. Esse aparelho fica grudado na pele e possui um sensor que monitora a quantidade de açúcar no sangue durante o dia todo. A bomba de infusão de insulina libera continuamente doses de insulina para ajustar a quantidade de açúcar no sangue durante os períodos de jejum. A bomba de infusão de insulina  também ajusta a quantidade de açúcar no sangue nos momentos em que a pessoa ingere algum alimento. O maior problema desse aparelho é que ele é  caro para a maior parte das pessoas, já que ele não está disponível pelo SUS. Esse aparelho costuma ajudar a controlar melhor a glicemia, evitando que ela fique muito alta ou muito baixa. Mas mesmo as pessoas com diabetes que usam a bomba de infusão de insulina devem seguir uma dieta pensada por um nutricionista. A bomba diminui as chances de a pessoa ter hipo ou hiperglicemia, mas não é tão efetiva para compensar picos muito altos ou muito baixos."
"Pessoal, sou pré-diabético e estou trocando minha alimentação para zero açúcar, mas gostaria de saber se alguém tem alguma dica para ter menos dificuldade de zerar o açúcar na sua alimentação. Digo isso porque, para mim, é muito difícil ficar sem algo doce no dia a dia.","Lidar com uma doença crônica pode ser muito difícil e doloroso. Porém, esse processo também pode ser visto como uma nova chance de se tratar de uma forma mais carinhosa e saudável! As mudanças de estilo de vida (alimentação saudável, prática de exercícios físicos, perda de peso...) são uma parte fundamental do tratamento de qualquer diabético. Para além disso, porém, elas promovem uma mudança em toda a forma de se relacionar com o corpo. Dê uma chance à saúde, é possível controlar o diabetes! Além disso, estão disponíveis gratuitamente pelo SUS profissionais como psicólogos e nutricionista que também podem auxiliar nesse processo!","Viver com uma doença crônica pode ser muito difícil e doloroso. Porém, esse processo também pode ser visto como uma nova chance de se tratar de uma forma mais carinhosa e saudável! Mudar o estilo de vida (alimentação saudável, prática de exercícios físicos, perda de peso...) é fundamental no tratamento da pessoa com diabetes. Mas muito mais que isso, faz mudar toda a forma de se relacionar com o corpo. Dê uma chance à saúde, é possível controlar o diabetes! Além disso, estão disponíveis gratuitamente pelo SUS profissionais como psicólogos e nutricionistas que também podem auxiliar nesse processo!","Viver com uma doença crônica pode ser muito difícil e doloroso. Porém, esse processo também pode ser visto como uma nova chance de se tratar de uma forma mais carinhosa e saudável! Mudar o estilo de vida (alimentação saudável, prática de exercícios físicos, perda de peso...) é fundamental no tratamento da pessoa com diabetes. Mas muito mais que isso, faz mudar toda a forma de se relacionar com o corpo. Dê uma chance à saúde, é possível controlar o diabetes! Além disso, estão disponíveis gratuitamente pelo SUS profissionais como psicólogos e nutricionistas que também podem auxiliar nesse processo!"
Gostaria de saber mais sobre a bomba de insulina.,"A bomba de insulina é um aparelho eletrônico do tamanho de um celular cuja função é liberar insulina no organismo. Esse aparelho tem um cateter com uma agulha flexível na ponta e essa agulha deve permanecer inserida na região subcutânea do abdômen, do braço ou da coxa (devendo ser substituída a cada 2 ou 3 dias). Alguns aparelhos conseguem medir a glicemia, enquanto outros requerem que a glicemia seja medida separadamente pelo glicosímetro.","A bomba de insulina é um aparelho eletrônico do tamanho de um celular que libera insulina no organismo. Esse aparelho tem um cateter com uma agulha flexível na ponta e essa agulha deve permanecer inserida debaixo da pele na região do abdômen, do braço ou da coxa (precisa ser substituída a cada 2 ou 3 dias). Alguns aparelhos medem a glicemia; outros, não, e a glicemia precisa ser medida separadamente com um glicosímetro.","A bomba de insulina é um aparelho eletrônico do tamanho de um celular que libera insulina no organismo. Esse aparelho tem um cateter com uma agulha flexível na ponta e essa agulha deve permanecer inserida debaixo da pele na região do abdômen, do braço ou da coxa (precisa ser substituída a cada 2 ou 3 dias). Alguns aparelhos medem a glicemia; outros, não, e a glicemia precisa ser medida separadamente com um glicosímetro."
Qualquer um pode utilizar a bomba de insulina?,"Para poder utilizar o aparelho, é necessário que a pessoa cumpra alguns requisitos, como poder medir a glicemia capilar no mínimo 4 vezes por dia (de 6 a 8 na fase de ajuste das doses), ser capaz de seguir as recomendações médicas e nutricionais, saber realizar a contagem de carboidratos e praticar atividade física. Além disso, o uso da bomba de insulina não é indicada para pessoas com história prévia de bulimia. Também deve se levar em consideração os custos financeiros da utilização desse aparelho.","Para poder utilizar bomba de insulina,  a pessoa tem de cumprir alguns requisitos. Medir a glicemia capilar no mínimo 4 vezes por dia (de 6 a 8 vezes na fase de ajuste das doses), ser capaz de seguir as recomendações médicas e nutricionais, saber realizar a contagem de carboidratos e praticar atividade física. A bomba de insulina não é indicada para pessoas com história prévia de bulimia. Também deve se levar em consideração os custos financeiros da utilização desse aparelho.","Para poder utilizar bomba de insulina,  a pessoa tem de cumprir alguns requisitos. Medir a glicemia capilar no mínimo 4 vezes por dia (de 6 a 8 vezes na fase de ajuste das doses), ser capaz de seguir as recomendações médicas e nutricionais, saber realizar a contagem de carboidratos e praticar atividade física. A bomba de insulina não é indicada para pessoas com história prévia de bulimia. Também deve se levar em consideração os custos financeiros da utilização desse aparelho."
"Dormência nos dedos dos pés, o que será?","Isso que você está nos contando pode ser causada pela neuropatia diabética. A neuropatia diabética pode ter várias formas de apresentação, sendo a mais comum a polineuropatia sensitiva distal. Esse tipo de neuropatia costuma acometer os membros (pés, pernas, mãos e braços), iniciando com sintomas de dor em queimação principalmente à noite e, com a piora, evoluindo para perda da sensibilidade (dificuldade de sentir o toque). Se você já possui algum dano ou dor crônica existem tratamentos farmacológicos (remédios) que podem auxiliar no controle da dor, mas que devem ser prescritos pelo médico que faz o seu acompanhamento.","Dormência nos dedos dos pés pode ser causada pela neuropatia diabética. A neuropatia diabética pode ter várias formas de apresentação, sendo a mais comum a polineuropatia sensitiva distal. Esse tipo de neuropatia costuma acometer os membros (pés, pernas, mãos e braços), iniciando com sintomas de dor em queimação principalmente à noite e, com a piora, evoluindo para perda da sensibilidade (dificuldade de sentir o toque). Se você já possui algum dano ou dor crônica existem tratamentos farmacológicos (remédios) que podem auxiliar no controle da dor, mas que devem ser prescritos pelo médico que faz o seu acompanhamento.","Dormência nos dedos dos pés pode ser causada pela neuropatia diabética. A neuropatia diabética pode ter várias formas de apresentação, sendo a mais comum a polineuropatia sensitiva distal. Esse tipo de neuropatia costuma acometer os membros (pés, pernas, mãos e braços), iniciando com sintomas de dor em queimação principalmente à noite e, com a piora, evoluindo para perda da sensibilidade (dificuldade de sentir o toque). Se você já possui algum dano ou dor crônica existem tratamentos farmacológicos (remédios) que podem auxiliar no controle da dor, mas que devem ser prescritos pelo médico que faz o seu acompanhamento"
