#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=O diabetes por si só geralmente não faz com que você não perca peso. Às vezes, os medicamentos que uma pessoa está tomando podem interferir, aumentando o nível de retenção de líquidos. Mantenha-se o mais ativo possível e não desista se o peso na balança ainda não for o ideal. Seja honesto consigo mesmo sobre a sua alimentação e nível de atividade. Se você conseguir encontrar um nutricionista, ele ou ela pode sugerir a quantidade certa de vitaminas, minerais, carboidratos e proteínas que você deve consumir, o que vai ajudar a guiar sua alimentação.
1-1	0-1	O	_	
1-2	2-10	diabetes	_	
1-3	11-14	por	_	
1-4	15-17	si	_	
1-5	18-20	só	_	
1-6	21-31	geralmente	_	
1-7	32-35	não	_	
1-8	36-39	faz	_	
1-9	40-43	com	_	
1-10	44-47	que	_	
1-11	48-52	você	_	
1-12	53-56	não	_	
1-13	57-62	perca	_	
1-14	63-67	peso	_	
1-15	67-68	.	_	
1-16	69-71	Às	_	
1-17	72-77	vezes	_	
1-18	77-78	,	_	
1-19	79-81	os	_	
1-20	82-94	medicamentos	_	
1-21	95-98	que	_	
1-22	99-102	uma	_	
1-23	103-109	pessoa	_	
1-24	110-114	está	_	
1-25	115-122	tomando	_	
1-26	123-128	podem	_	
1-27	129-139	interferir	_	
1-28	139-140	,	_	
1-29	141-151	aumentando	_	
1-30	152-153	o	_	
1-31	154-159	nível	_	
1-32	160-162	de	_	
1-33	163-171	retenção	Symptom[1]	
1-34	172-174	de	Symptom[1]	
1-35	175-183	líquidos	Symptom[1]	
1-36	183-184	.	_	
1-37	185-196	Mantenha-se	_	
1-38	197-198	o	_	
1-39	199-203	mais	_	
1-40	204-209	ativo	_	
1-41	210-218	possível	_	
1-42	219-220	e	_	
1-43	221-224	não	_	
1-44	225-232	desista	_	
1-45	233-235	se	_	
1-46	236-237	o	_	
1-47	238-242	peso	_	
1-48	243-245	na	_	
1-49	246-253	balança	_	
1-50	254-259	ainda	_	
1-51	260-263	não	_	
1-52	264-267	for	_	
1-53	268-269	o	_	
1-54	270-275	ideal	_	
1-55	275-276	.	_	
1-56	277-281	Seja	_	
1-57	282-289	honesto	_	
1-58	290-297	consigo	_	
1-59	298-303	mesmo	_	
1-60	304-309	sobre	_	
1-61	310-311	a	_	
1-62	312-315	sua	_	
1-63	316-327	alimentação	_	
1-64	328-329	e	_	
1-65	330-335	nível	_	
1-66	336-338	de	_	
1-67	339-348	atividade	_	
1-68	348-349	.	_	
1-69	350-352	Se	_	
1-70	353-357	você	_	
1-71	358-367	conseguir	_	
1-72	368-377	encontrar	_	
1-73	378-380	um	_	
1-74	381-394	nutricionista	_	
1-75	394-395	,	_	
1-76	396-399	ele	_	
1-77	400-402	ou	_	
1-78	403-406	ela	_	
1-79	407-411	pode	_	
1-80	412-419	sugerir	_	
1-81	420-421	a	_	
1-82	422-432	quantidade	_	
1-83	433-438	certa	_	
1-84	439-441	de	_	
1-85	442-451	vitaminas	_	
1-86	451-452	,	_	
1-87	453-461	minerais	_	
1-88	461-462	,	_	
1-89	463-475	carboidratos	_	
1-90	476-477	e	_	
1-91	478-487	proteínas	_	
1-92	488-491	que	_	
1-93	492-496	você	_	
1-94	497-501	deve	_	
1-95	502-510	consumir	_	
1-96	510-511	,	_	
1-97	512-513	o	_	
1-98	514-517	que	_	
1-99	518-521	vai	_	
1-100	522-528	ajudar	_	
1-101	529-530	a	_	
1-102	531-536	guiar	_	
1-103	537-540	sua	_	
1-104	541-552	alimentação	_	
1-105	552-553	.	_	
