#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Existem diversos exames que nos dão informações sobre o controle do diabetes, como por exemplo a glicemia em jejum, a hemoglobina glicada, o teste de tolerância oral a glicose, entre outros. Cada um desses exames possui valores e interpretações diferentes. Por isso, é de suma importância que você especifique qual exame você está se referindo.
1-1	0-7	Existem	_	_	_	
1-2	8-16	diversos	_	_	_	
1-3	17-23	exames	_	_	_	
1-4	24-27	que	_	_	_	
1-5	28-31	nos	_	_	_	
1-6	32-35	dão	_	_	_	
1-7	36-47	informações	_	_	_	
1-8	48-53	sobre	_	_	_	
1-9	54-55	o	_	_	_	
1-10	56-64	controle	_	_	_	
1-11	65-67	do	_	_	_	
1-12	68-76	diabetes	Complication	diagnoses|diagnoses|diagnoses	1-27[3_0]|1-18[1_0]|1-23[2_0]	
1-13	76-77	,	_	_	_	
1-14	78-82	como	_	_	_	
1-15	83-86	por	_	_	_	
1-16	87-94	exemplo	_	_	_	
1-17	95-96	a	_	_	_	
1-18	97-105	glicemia	Test[1]	_	_	
1-19	106-108	em	Test[1]	_	_	
1-20	109-114	jejum	Test[1]	_	_	
1-21	114-115	,	_	_	_	
1-22	116-117	a	_	_	_	
1-23	118-129	hemoglobina	Test[2]	_	_	
1-24	130-137	glicada	Test[2]	_	_	
1-25	137-138	,	_	_	_	
1-26	139-140	o	_	_	_	
1-27	141-146	teste	Test[3]	_	_	
1-28	147-149	de	Test[3]	_	_	
1-29	150-160	tolerância	Test[3]	_	_	
1-30	161-165	oral	Test[3]	_	_	
1-31	166-167	a	Test[3]	_	_	
1-32	168-175	glicose	Test[3]	_	_	
1-33	175-176	,	_	_	_	
1-34	177-182	entre	_	_	_	
1-35	183-189	outros	_	_	_	
1-36	189-190	.	_	_	_	
1-37	191-195	Cada	_	_	_	
1-38	196-198	um	_	_	_	
1-39	199-205	desses	_	_	_	
1-40	206-212	exames	_	_	_	
1-41	213-219	possui	_	_	_	
1-42	220-227	valores	_	_	_	
1-43	228-229	e	_	_	_	
1-44	230-244	interpretações	_	_	_	
1-45	245-255	diferentes	_	_	_	
1-46	255-256	.	_	_	_	
1-47	257-260	Por	_	_	_	
1-48	261-265	isso	_	_	_	
1-49	265-266	,	_	_	_	
1-50	267-268	é	_	_	_	
1-51	269-271	de	_	_	_	
1-52	272-276	suma	_	_	_	
1-53	277-288	importância	_	_	_	
1-54	289-292	que	_	_	_	
1-55	293-297	você	_	_	_	
1-56	298-309	especifique	_	_	_	
1-57	310-314	qual	_	_	_	
1-58	315-320	exame	_	_	_	
1-59	321-325	você	_	_	_	
1-60	326-330	está	_	_	_	
1-61	331-333	se	_	_	_	
1-62	334-343	referindo	_	_	_	
1-63	343-344	.	_	_	_	
