#FORMAT=WebAnno TSV 3.2


#Text=A eficácia de cada medicamento varia de pessoa a pessoa. Para decidir qual é o melhor remédio para cada situação, é necessário que um profissional da saúde avalie as condições de saúde da pessoa e leve em consideração o seu histórico médico.
1-1	0-1	A	
1-2	2-10	eficácia	
1-3	11-13	de	
1-4	14-18	cada	
1-5	19-30	medicamento	
1-6	31-36	varia	
1-7	37-39	de	
1-8	40-46	pessoa	
1-9	47-48	a	
1-10	49-55	pessoa	
1-11	55-56	.	
1-12	57-61	Para	
1-13	62-69	decidir	
1-14	70-74	qual	
1-15	75-76	é	
1-16	77-78	o	
1-17	79-85	melhor	
1-18	86-93	remédio	
1-19	94-98	para	
1-20	99-103	cada	
1-21	104-112	situação	
1-22	112-113	,	
1-23	114-115	é	
1-24	116-126	necessário	
1-25	127-130	que	
1-26	131-133	um	
1-27	134-146	profissional	
1-28	147-149	da	
1-29	150-155	saúde	
1-30	156-162	avalie	
1-31	163-165	as	
1-32	166-175	condições	
1-33	176-178	de	
1-34	179-184	saúde	
1-35	185-187	da	
1-36	188-194	pessoa	
1-37	195-196	e	
1-38	197-201	leve	
1-39	202-204	em	
1-40	205-217	consideração	
1-41	218-219	o	
1-42	220-223	seu	
1-43	224-233	histórico	
1-44	234-240	médico	
1-45	240-241	.	
