#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Há várias receitas de mingau, prefira aquelas com ingredientes ricos em fibras como a aveia, quinoa e chia. Os tradicionais como de fubá, maisena e arroz também podem ser consumidos. Você pode optar por fazê-los com bebidas vegetais como as de coco e castanha, que possuem um teor de gorduras boas mais elevado. Além disso, você pode incluir sementes e farelos por cima, para realizar o controle do índice glicêmico. Para uma orientação mais específica o ideal é que você se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) pois ele poderá montar uma dieta ideal para as suas necessidades.
1-1	0-2	Há	_	_	_	
1-2	3-9	várias	_	_	_	
1-3	10-18	receitas	_	_	_	
1-4	19-21	de	_	_	_	
1-5	22-28	mingau	Food	_	_	
1-6	28-29	,	_	_	_	
1-7	30-37	prefira	_	_	_	
1-8	38-45	aquelas	_	_	_	
1-9	46-49	com	_	_	_	
1-10	50-62	ingredientes	_	_	_	
1-11	63-68	ricos	_	_	_	
1-12	69-71	em	_	_	_	
1-13	72-78	fibras	Food	has|has|has	1-16|1-18|1-20	
1-14	79-83	como	_	_	_	
1-15	84-85	a	_	_	_	
1-16	86-91	aveia	Food	_	_	
1-17	91-92	,	_	_	_	
1-18	93-99	quinoa	Food	_	_	
1-19	100-101	e	_	_	_	
1-20	102-106	chia	Food	_	_	
1-21	106-107	.	_	_	_	
1-22	108-110	Os	_	_	_	
1-23	111-123	tradicionais	_	_	_	
1-24	124-128	como	_	_	_	
1-25	129-131	de	_	_	_	
1-26	132-136	fubá	Food	_	_	
1-27	136-137	,	_	_	_	
1-28	138-145	maisena	Food	_	_	
1-29	146-147	e	_	_	_	
1-30	148-153	arroz	Food	_	_	
1-31	154-160	também	_	_	_	
1-32	161-166	podem	_	_	_	
1-33	167-170	ser	_	_	_	
1-34	171-181	consumidos	_	_	_	
1-35	181-182	.	_	_	_	
1-36	183-187	Você	_	_	_	
1-37	188-192	pode	_	_	_	
1-38	193-198	optar	_	_	_	
1-39	199-202	por	_	_	_	
1-40	203-211	fazê-los	_	_	_	
1-41	212-215	com	_	_	_	
1-42	216-223	bebidas	Food[1]	_	_	
1-43	224-232	vegetais	Food[1]	_	_	
1-44	233-237	como	_	_	_	
1-45	238-240	as	_	_	_	
1-46	241-243	de	_	_	_	
1-47	244-248	coco	Food	_	_	
1-48	249-250	e	_	_	_	
1-49	251-259	castanha	Food	_	_	
1-50	259-260	,	_	_	_	
1-51	261-264	que	_	_	_	
1-52	265-272	possuem	_	_	_	
1-53	273-275	um	_	_	_	
1-54	276-280	teor	_	_	_	
1-55	281-283	de	_	_	_	
1-56	284-292	gorduras	Food[2]	has|has	1-47[0_2]|1-49[0_2]	
1-57	293-297	boas	Food[2]	_	_	
1-58	298-302	mais	_	_	_	
1-59	303-310	elevado	_	_	_	
1-60	310-311	.	_	_	_	
1-61	312-316	Além	_	_	_	
1-62	317-322	disso	_	_	_	
1-63	322-323	,	_	_	_	
1-64	324-328	você	_	_	_	
1-65	329-333	pode	_	_	_	
1-66	334-341	incluir	_	_	_	
1-67	342-350	sementes	Food	_	_	
1-68	351-352	e	_	_	_	
1-69	353-360	farelos	Food	_	_	
1-70	361-364	por	_	_	_	
1-71	365-369	cima	_	_	_	
1-72	369-370	,	_	_	_	
1-73	371-375	para	_	_	_	
1-74	376-384	realizar	_	_	_	
1-75	385-386	o	_	_	_	
1-76	387-395	controle	_	_	_	
1-77	396-398	do	_	_	_	
1-78	399-405	índice	GlucoseValue[3]	_	_	
1-79	406-415	glicêmico	GlucoseValue[3]	_	_	
1-80	415-416	.	_	_	_	
1-81	417-421	Para	_	_	_	
1-82	422-425	uma	_	_	_	
1-83	426-436	orientação	_	_	_	
1-84	437-441	mais	_	_	_	
1-85	442-452	específica	_	_	_	
1-86	453-454	o	_	_	_	
1-87	455-460	ideal	_	_	_	
1-88	461-462	é	_	_	_	
1-89	463-466	que	_	_	_	
1-90	467-471	você	_	_	_	
1-91	472-474	se	_	_	_	
1-92	475-483	consulte	_	_	_	
1-93	484-487	com	_	_	_	
1-94	488-490	um	_	_	_	
1-95	491-504	nutricionista	_	_	_	
1-96	505-506	(	_	_	_	
1-97	506-509	que	_	_	_	
1-98	510-515	estão	_	_	_	
1-99	516-527	disponíveis	_	_	_	
1-100	528-541	gratuitamente	_	_	_	
1-101	542-544	no	_	_	_	
1-102	545-548	SUS	_	_	_	
1-103	548-549	)	_	_	_	
1-104	550-554	pois	_	_	_	
1-105	555-558	ele	_	_	_	
1-106	559-565	poderá	_	_	_	
1-107	566-572	montar	_	_	_	
1-108	573-576	uma	_	_	_	
1-109	577-582	dieta	_	_	_	
1-110	583-588	ideal	_	_	_	
1-111	589-593	para	_	_	_	
1-112	594-596	as	_	_	_	
1-113	597-601	suas	_	_	_	
1-114	602-614	necessidades	_	_	_	
1-115	614-615	.	_	_	_	
