#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=Pode sim, se atente à quantidade e associa outros alimentos, fontes de fibras e proteína, a fim de controlar o índice glicêmico da refeição. Para uma orientação mais específica o ideal é que você se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) pois ele poderá montar uma dieta ideal para as suas necessidades.
1-1	0-4	Pode	_	
1-2	5-8	sim	_	
1-3	8-9	,	_	
1-4	10-12	se	_	
1-5	13-19	atente	_	
1-6	20-21	à	_	
1-7	22-32	quantidade	_	
1-8	33-34	e	_	
1-9	35-42	associa	_	
1-10	43-49	outros	_	
1-11	50-59	alimentos	_	
1-12	59-60	,	_	
1-13	61-67	fontes	_	
1-14	68-70	de	_	
1-15	71-77	fibras	Food	
1-16	78-79	e	_	
1-17	80-88	proteína	Food	
1-18	88-89	,	_	
1-19	90-91	a	_	
1-20	92-95	fim	_	
1-21	96-98	de	_	
1-22	99-108	controlar	_	
1-23	109-110	o	_	
1-24	111-117	índice	GlucoseValue[1]	
1-25	118-127	glicêmico	GlucoseValue[1]	
1-26	128-130	da	_	
1-27	131-139	refeição	_	
1-28	139-140	.	_	
1-29	141-145	Para	_	
1-30	146-149	uma	_	
1-31	150-160	orientação	_	
1-32	161-165	mais	_	
1-33	166-176	específica	_	
1-34	177-178	o	_	
1-35	179-184	ideal	_	
1-36	185-186	é	_	
1-37	187-190	que	_	
1-38	191-195	você	_	
1-39	196-198	se	_	
1-40	199-207	consulte	_	
1-41	208-211	com	_	
1-42	212-214	um	_	
1-43	215-228	nutricionista	_	
1-44	229-230	(	_	
1-45	230-233	que	_	
1-46	234-239	estão	_	
1-47	240-251	disponíveis	_	
1-48	252-265	gratuitamente	_	
1-49	266-268	no	_	
1-50	269-272	SUS	_	
1-51	272-273	)	_	
1-52	274-278	pois	_	
1-53	279-282	ele	_	
1-54	283-289	poderá	_	
1-55	290-296	montar	_	
1-56	297-300	uma	_	
1-57	301-306	dieta	NonMedicalTreatment[2]	
1-58	307-312	ideal	NonMedicalTreatment[2]	
1-59	313-317	para	_	
1-60	318-320	as	_	
1-61	321-325	suas	_	
1-62	326-338	necessidades	_	
1-63	338-339	.	_	
