,File,Token ID,Token position,Token,Entity,Relation,Relation ID
0,main_resposta_0001.txt,1-1,0-5,Estar,Complication[1],_,_
1,main_resposta_0001.txt,1-2,6-11,acima,Complication[1],_,_
2,main_resposta_0001.txt,1-3,12-14,do,Complication[1],_,_
3,main_resposta_0001.txt,1-4,15-19,peso,Complication[1],_,_
4,main_resposta_0001.txt,1-5,20-24,pode,_,_,_
5,main_resposta_0001.txt,1-6,25-30,fazer,_,_,_
6,main_resposta_0001.txt,1-7,31-34,com,_,_,_
7,main_resposta_0001.txt,1-8,35-38,que,_,_,_
8,main_resposta_0001.txt,1-9,39-46,apareça,_,_,_
9,main_resposta_0001.txt,1-10,47-48,o,_,_,_
10,main_resposta_0001.txt,1-11,49-57,diabetes,DiabetesType[2],causes|prevents,1-1[1_2]|1-19[3_2]
11,main_resposta_0001.txt,1-12,58-62,tipo,DiabetesType[2],_,_
12,main_resposta_0001.txt,1-13,63-64,2,DiabetesType[2],_,_
13,main_resposta_0001.txt,1-14,64-65,.,_,_,_
14,main_resposta_0001.txt,1-15,66-69,Por,_,_,_
15,main_resposta_0001.txt,1-16,70-74,isso,_,_,_
16,main_resposta_0001.txt,1-17,74-75,",",_,_,_
17,main_resposta_0001.txt,1-18,76-77,o,_,_,_
18,main_resposta_0001.txt,1-19,78-83,jejum,NonMedicalTreatment[3],_,_
19,main_resposta_0001.txt,1-20,84-96,intermitente,NonMedicalTreatment[3],_,_
20,main_resposta_0001.txt,1-21,97-101,pode,_,_,_
21,main_resposta_0001.txt,1-22,102-105,ser,_,_,_
22,main_resposta_0001.txt,1-23,106-109,uma,_,_,_
23,main_resposta_0001.txt,1-24,110-115,forma,_,_,_
24,main_resposta_0001.txt,1-25,116-118,de,_,_,_
25,main_resposta_0001.txt,1-26,119-127,prevenir,_,_,_
26,main_resposta_0001.txt,1-27,128-129,o,_,_,_
27,main_resposta_0001.txt,1-28,130-138,diabetes,DiabetesType[4],prevents,1-19[3_4]
28,main_resposta_0001.txt,1-29,139-143,tipo,DiabetesType[4],_,_
29,main_resposta_0001.txt,1-30,144-145,2,DiabetesType[4],_,_
30,main_resposta_0001.txt,1-31,145-146,.,_,_,_
31,main_resposta_0001.txt,1-32,148-149,O,_,_,_
32,main_resposta_0001.txt,1-33,150-155,jejum,NonMedicalTreatment[5],_,_
33,main_resposta_0001.txt,1-34,156-168,intermitente,NonMedicalTreatment[5],_,_
34,main_resposta_0001.txt,1-35,169-175,também,_,_,_
35,main_resposta_0001.txt,1-36,176-180,pode,_,_,_
36,main_resposta_0001.txt,1-37,181-184,ser,_,_,_
37,main_resposta_0001.txt,1-38,185-194,utilizado,_,_,_
38,main_resposta_0001.txt,1-39,195-199,como,_,_,_
39,main_resposta_0001.txt,1-40,200-210,tratamento,_,_,_
40,main_resposta_0001.txt,1-41,211-215,para,_,_,_
41,main_resposta_0001.txt,1-42,216-223,pessoas,_,_,_
42,main_resposta_0001.txt,1-43,224-229,recém,_,_,_
43,main_resposta_0001.txt,1-44,230-244,diagnosticadas,_,_,_
44,main_resposta_0001.txt,1-45,245-248,com,_,_,_
45,main_resposta_0001.txt,1-46,249-250,o,_,_,_
46,main_resposta_0001.txt,1-47,251-259,diabetes,DiabetesType[6],treats|treats,1-33[5_6]|1-53[7_6]
