,precision,recall,f1-score,support
B-Complication,0.7959183673469388,0.8125,0.8041237113402061,48.0
B-DiabetesType,1.0,1.0,1.0,3.0
B-Dose,0.5,1.0,0.6666666666666666,2.0
B-Duration,0.0,0.0,0.0,0.0
B-Food,0.6727272727272727,0.6271186440677966,0.6491228070175439,59.0
B-GlucoseValue,0.5833333333333334,0.7,0.6363636363636365,40.0
B-Insulin,1.0,0.5,0.6666666666666666,4.0
B-Medication,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
B-NonMedicalTreatment,0.8461538461538461,0.6875,0.7586206896551724,32.0
B-Set,0.75,1.0,0.8571428571428571,3.0
B-Symptom,0.8888888888888888,0.9411764705882353,0.9142857142857143,34.0
B-Test,1.0,0.8571428571428571,0.923076923076923,14.0
B-Time,0.5384615384615384,0.7,0.608695652173913,10.0
I-Complication,0.8173913043478261,0.8245614035087719,0.8209606986899564,114.0
I-DiabetesType,1.0,1.0,1.0,8.0
I-Dose,0.5,1.0,0.6666666666666666,4.0
I-Duration,0.0,0.0,0.0,0.0
I-Food,0.8178294573643411,0.8307086614173228,0.82421875,254.0
I-GlucoseValue,0.675,0.9152542372881356,0.7769784172661871,118.0
I-Insulin,1.0,0.6,0.7499999999999999,5.0
I-Medication,0.9642857142857143,0.8181818181818182,0.8852459016393442,33.0
I-NonMedicalTreatment,0.8142857142857143,0.8382352941176471,0.8260869565217392,68.0
I-Set,0.8235294117647058,0.9333333333333333,0.8749999999999999,15.0
I-Symptom,0.9591836734693877,0.9591836734693877,0.9591836734693877,98.0
I-Test,1.0,0.8933333333333333,0.9436619718309859,75.0
I-Time,0.8536585365853658,0.7291666666666666,0.7865168539325843,48.0
micro avg,0.8019281332164768,0.8348540145985401,0.818059901654001,1096.0
macro avg,0.7560688429291436,0.770174586548391,0.7483241565980389,1096.0
weighted avg,0.8204788172283543,0.8348540145985401,0.8233343561242986,1096.0
