,precision,recall,f1-score,support
B-Complication,0.7169811320754716,0.7916666666666666,0.7524752475247525,48.0
B-DiabetesType,1.0,1.0,1.0,3.0
B-Dose,1.0,1.0,1.0,2.0
B-Duration,0.0,0.0,0.0,0.0
B-Food,0.6666666666666666,0.6440677966101694,0.6551724137931034,59.0
B-GlucoseValue,0.5789473684210527,0.825,0.6804123711340206,40.0
B-Insulin,1.0,0.75,0.8571428571428571,4.0
B-Medication,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
B-NonMedicalTreatment,0.75,0.65625,0.7,32.0
B-Set,0.5,0.6666666666666666,0.5714285714285715,3.0
B-Symptom,0.8888888888888888,0.9411764705882353,0.9142857142857143,34.0
B-Test,0.9090909090909091,0.7142857142857143,0.8,14.0
B-Time,0.375,0.6,0.4615384615384615,10.0
I-Complication,0.6513761467889908,0.7171717171717171,0.6826923076923077,99.0
I-DiabetesType,1.0,1.0,1.0,6.0
I-Dose,0.75,0.75,0.75,4.0
I-Duration,0.0,0.0,0.0,0.0
I-Food,0.8211143695014663,0.8641975308641975,0.8421052631578947,324.0
I-GlucoseValue,0.6632124352331606,0.9142857142857143,0.7687687687687688,140.0
I-Insulin,0.75,0.75,0.75,8.0
I-Medication,1.0,0.8620689655172413,0.9259259259259259,29.0
I-NonMedicalTreatment,0.7480916030534351,0.8672566371681416,0.8032786885245901,113.0
I-Set,0.6923076923076923,0.6,0.6428571428571429,15.0
I-Symptom,0.9327731092436975,0.8671875,0.8987854251012145,128.0
I-Test,0.9420289855072463,0.8552631578947368,0.8965517241379309,76.0
I-Time,0.7916666666666666,0.7450980392156863,0.7676767676767677,51.0
micro avg,0.7608535688005886,0.8278622898318655,0.7929447852760736,1249.0
macro avg,0.7302034165610848,0.7399532859260671,0.7299323272243416,1249.0
weighted avg,0.7828390552073003,0.8278622898318655,0.8007124803311154,1249.0
