id,token,pred_tag,true_tag
0,Para,O,O
0,avaliar,O,O
0,as,O,O
0,causas,O,O
0,da,O,O
0,glicemia,B-GlucoseValue,O
0,de,O,O
0,jejum,O,O
0,elevada,O,O
0,",",O,O
0,seria,O,O
0,necessário,O,O
0,examinar,O,B-Test
0,você,O,I-Test
0,como,O,I-Test
0,um,O,I-Test
0,todo,O,I-Test
0,e,O,O
0,saber,O,O
0,toda,O,O
0,a,O,O
0,sua,O,O
0,história,O,O
0,médica,O,O
0,.,O,O
0,Por,O,O
0,isso,O,O
0,",",O,O
0,recomendamos,O,O
0,que,O,O
0,você,O,O
0,procure,O,O
0,o,O,O
0,médico,O,O
0,que,O,O
0,acompanha,O,O
0,você,O,O
0,para,O,O
0,que,O,O
0,ele,O,O
0,oriente,O,O
0,e,O,O
0,defina,O,O
0,se,O,O
0,é,O,O
0,necessário,O,O
0,um,O,O
0,ajuste,O,O
0,no,O,O
0,seu,O,O
0,tratamento,O,O
0,.,O,O
1,Não,O,O
1,existem,O,O
1,evidências,O,O
1,suficientes,O,O
1,que,O,O
1,comprovem,O,O
1,que,O,O
1,o,O,O
1,vinagre,O,B-Food
1,de,O,I-Food
1,maçã,O,I-Food
1,ajuda,O,O
1,no,O,O
1,controle,O,O
1,da,O,O
1,glicemia,B-GlucoseValue,B-GlucoseValue
1,.,O,O
1,Por,O,O
1,esse,O,O
1,motivo,O,O
1,",",O,O
1,não,O,O
1,se,O,O
1,pode,O,O
1,recomendar,O,O
1,o,O,O
1,seu,O,O
1,uso,O,O
1,no,O,O
1,tratamento,O,O
1,do,O,O
1,diabetes,B-Complication,B-Complication
1,.,O,O
1,Para,O,O
1,tratar,O,O
1,o,O,O
1,diabetes,B-Complication,I-Complication
1,de,O,O
1,forma,O,O
1,correta,O,O
1,",",O,O
1,é,O,O
1,necessário,O,O
1,adotar,O,O
1,hábitos,O,O
1,de,O,O
1,vida,O,O
1,saudáveis,O,O
1,.,O,O
1,Tenha,O,O
1,uma,O,O
1,dieta,B-NonMedicalTreatment,B-NonMedicalTreatment
1,equilibrada,I-NonMedicalTreatment,I-NonMedicalTreatment
1,",",O,O
1,faça,O,O
1,exercícios,B-NonMedicalTreatment,B-NonMedicalTreatment
1,físicos,I-NonMedicalTreatment,I-NonMedicalTreatment
1,regularmente,O,O
1,",",O,O
1,tome,O,O
1,os,O,O
1,remédios,O,O
1,indicados,O,O
1,pelo,O,O
1,seu,O,O
1,médico,O,O
1,na,O,O
1,dose,O,O
1,correta,O,O
1,e,O,O
1,na,O,O
1,hora,O,O
1,certa,O,O
1,e,O,O
1,faça,O,O
1,consultas,O,O
1,médicas,O,O
1,regulares,O,O
1,.,O,O
2,Sim,O,O
2,!,O,O
2,Inúmeros,O,O
2,medicamentos,O,O
2,tem,O,O
2,como,O,O
2,efeito,O,O
2,colateral,O,O
2,o,O,O
2,ganho,B-Symptom,B-Symptom
2,de,I-Symptom,I-Symptom
2,peso,I-Symptom,I-Symptom
2,",",O,O
2,como,O,O
2,por,O,O
2,exemplo,O,O
2,a,O,O
2,pioglitazona,O,B-Medication
2,",",O,O
2,as,O,O
2,glinidas,O,I-Medication
2,",",O,O
2,as,O,O
2,sulfoniuréias,O,I-Medication
2,e,O,O
2,até,O,O
2,mesmo,O,O
2,a,O,O
2,insulina,B-Insulin,B-Insulin
2,",",O,O
2,que,O,O
2,são,O,O
2,todos,O,O
2,remédios,O,O
2,utilizados,O,O
2,para,O,O
2,o,O,O
2,tratamento,O,O
2,do,O,O
2,diabetes,B-Complication,B-Complication
2,.,O,O
2,No,O,O
2,entanto,O,O
2,",",O,O
2,é,O,O
2,preciso,O,O
2,conversar,O,O
2,com,O,O
2,seu,O,O
2,médico,O,O
2,para,O,O
2,avaliar,O,O
2,se,O,O
2,esse,O,O
2,ganho,O,B-Symptom
2,de,O,I-Symptom
2,peso,O,I-Symptom
2,é,O,O
2,de,O,O
2,fato,O,O
2,por,O,O
2,causa,O,O
2,do,O,O
2,remédio,O,O
