id;token;pred_tag;true_tag
0;tensor(20);O;B-Dose
0;tensor(22);B-Food;I-Dose
0;tensor(7);B-Food;O
0;tensor(9);B-Food;B-Food
0;tensor(8);I-Food;I-Food
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(20);O;B-Dose
0;tensor(22);O;I-Dose
0;tensor(22);O;I-Dose
0;tensor(22);I-Food;I-Dose
0;tensor(22);I-Food;I-Dose
0;tensor(7);I-Food;O
0;tensor(9);I-Food;B-Food
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);B-Food;O
0;tensor(7);I-Food;O
0;tensor(8);I-Food;I-Food
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);B-Food;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(20);B-Food;B-Dose
0;tensor(7);I-NonMedicalTreatment;O
0;tensor(7);I-NonMedicalTreatment;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(9);B-Food;B-Food
0;tensor(7);I-NonMedicalTreatment;O
0;tensor(7);B-Food;O
0;tensor(8);I-Food;I-Food
0;tensor(7);I-NonMedicalTreatment;O
0;tensor(7);B-Food;O
0;tensor(9);I-Food;B-Food
0;tensor(8);I-Food;I-Food
0;tensor(7);I-Food;O
0;tensor(9);I-Food;B-Food
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(7);O;O
0;tensor(8);B-Food;I-Food
0;tensor(7);O;O
0;tensor(7);O;O
