,precision,recall,f1-score,support
Complication,0.8813559322033898,0.8666666666666667,0.8739495798319329,60.0
DiabetesType,1.0,1.0,1.0,3.0
Dose,0.0,0.0,0.0,2.0
Duration,1.0,0.6666666666666666,0.8,3.0
Food,0.6875,0.5,0.5789473684210527,22.0
GlucoseValue,0.5882352941176471,0.6060606060606061,0.5970149253731343,33.0
Insulin,1.0,0.3333333333333333,0.5,3.0
Medication,1.0,1.0,1.0,4.0
NonMedicalTreatment,0.8333333333333334,0.7142857142857143,0.7692307692307692,28.0
Set,0.0,0.0,0.0,6.0
Symptom,0.8636363636363636,0.5757575757575758,0.6909090909090909,33.0
Test,0.75,0.6,0.6666666666666665,5.0
Time,0.5,0.5714285714285714,0.5333333333333333,7.0
micro avg,0.7722222222222223,0.6650717703349283,0.7146529562982005,209.0
macro avg,0.7003123787146718,0.5718614718614718,0.616157825674306,209.0
weighted avg,0.7631648515378904,0.6650717703349283,0.7042126202756974,209.0
