;precision;recall;f1-score;support
Complication;0.7547169811320755;0.9302325581395349;0.8333333333333334;43.0
DiabetesType;1.0;1.0;1.0;4.0
Dose;0.0;0.0;0.0;1.0
Food;0.0;0.0;0.0;46.0
GlucoseValue;0.8461538461538461;0.88;0.8627450980392156;25.0
Insulin;0.0;0.0;0.0;2.0
Medication;0.3333333333333333;0.1;0.15384615384615383;10.0
NonMedicalTreatment;0.35714285714285715;0.25;0.2941176470588235;20.0
Set;0.0;0.0;0.0;4.0
Symptom;0.6875;0.34375;0.4583333333333333;32.0
Test;0.0;0.0;0.0;3.0
Time;1.0;0.2222222222222222;0.3636363636363636;9.0
micro avg;0.6967213114754098;0.4271356783919598;0.529595015576324;199.0
macro avg;0.41490391814684263;0.3105170650301464;0.3305009941039353;199.0
weighted avg;0.4979038533603813;0.4271356783919598;0.43599080001681245;199.0
